DeviceType	DeviceLocation	SusyId	SerNo	TimeStamp	EntryId	EventCode	EventType	Category	Group	Tag
SB 4000TL-20	SN: 2100538165	78	2100538165	04.12.2011 09:07	3361	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	05.12.2011 08:42	3376	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	06.12.2011 09:10	3386	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	07.12.2011 09:29	3405	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	08.12.2011 08:36	3418	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	09.12.2011 09:17	3431	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	10.12.2011 08:47	3441	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	11.12.2011 08:59	3451	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	12.12.2011 09:27	3472	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	13.12.2011 09:31	3482	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	14.12.2011 09:34	3491	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	15.12.2011 09:14	3526	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	16.12.2011 09:38	3541	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	17.12.2011 10:48	3554	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	18.12.2011 09:58	3585	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	18.12.2011 10:33	3587	39	Incoming	Info	DC-Seite	Warten auf DC-Startbedingungen
SB 4000TL-20	SN: 2100538165	78	2100538165	18.12.2011 12:10	3593	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	18.12.2011 12:45	3595	39	Incoming	Warning	DC-Seite	Warten auf DC-Startbedingungen
SB 4000TL-20	SN: 2100538165	78	2100538165	18.12.2011 15:57	3602	39	Outgoing	Info	DC-Seite	Warten auf DC-Startbedingungen
SB 4000TL-20	SN: 2100538165	78	2100538165	19.12.2011 11:29	3606	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	19.12.2011 12:05	3608	39	Incoming	Info	DC-Seite	Warten auf DC-Startbedingungen
SB 4000TL-20	SN: 2100538165	78	2100538165	19.12.2011 13:39	3614	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	19.12.2011 14:15	3616	39	Incoming	Warning	DC-Seite	Warten auf DC-Startbedingungen
SB 4000TL-20	SN: 2100538165	78	2100538165	19.12.2011 15:13	3619	39	Outgoing	Info	DC-Seite	Warten auf DC-Startbedingungen
SB 4000TL-20	SN: 2100538165	78	2100538165	21.12.2011 14:01	3623	10223	Event	Info	Gerät	Intervallzeit abgelaufen
SB 4000TL-20	SN: 2100538165	78	2100538165	21.12.2011 14:37	3625	39	Incoming	Info	DC-Seite	Warten auf DC-Startbedingungen
