sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon

DeviceType;DeviceLocation;SusyId;SerNo;TimeStamp;EntryId;EventCode;EventType;Category;Group;Tag
SB 4000TL-21;SN: 2130002605;138;2130002605;01.03.2012 08:30;2363;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;02.03.2012 08:28;2374;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;03.03.2012 08:35;2385;10223;Event;Info;Gerät;Intervallzeit abgelaufen
