sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100071167;SN: 2100071167;SN: 2130002605;SN: 2130002605
;SB 4000TL-20;SB 4000TL-20;SB 4000TL-21;SB 4000TL-21
;2100071167;2100071167;2130002605;2130002605
;Gesamtertrag;Tagesertrag;Gesamtertrag;Tagesertrag
;Counter;Analog;Counter;Analog
dd.MM.yyyy;kWh;kWh;kWh;kWh
01.03.2012;8839,198;13,653;145,207;2,437
02.03.2012;8851,740;12,542;147,806;2,599
03.03.2012;8865,846;14,106;151,749;3,943
04.03.2012;8872,925;7,079;157,572;5,823
05.03.2012;8880,422;7,497;162,107;4,535
06.03.2012;8885,241;4,819;166,462;4,355
07.03.2012;8898,075;12,834;170,433;3,971
08.03.2012;8902,939;4,864;174,915;4,482
09.03.2012;8918,128;15,189;178,560;3,645
10.03.2012;8931,264;13,136;182,794;4,234
11.03.2012;8933,604;2,340;184,848;2,054
12.03.2012;8938,564;4,960;189,410;4,562
13.03.2012;8945,400;6,836;195,019;5,609
14.03.2012;8961,956;16,556;200,098;5,079
15.03.2012;8977,910;15,954;205,052;4,954
16.03.2012;8993,612;15,702;209,685;4,633
17.03.2012;9004,709;11,097;215,866;6,181
18.03.2012;9017,831;13,122;221,524;5,658
19.03.2012;9022,211;4,380;225,417;3,893
20.03.2012;9039,794;17,583;231,954;6,537
21.03.2012;9055,310;15,516;238,860;6,906
22.03.2012;9073,635;18,325;245,497;6,637
23.03.2012;9091,324;17,689;252,700;7,203
24.03.2012;9105,577;14,253;260,483;7,783
25.03.2012;9124,226;18,649;268,287;7,804
26.03.2012;9144,103;19,877;275,749;7,462
27.03.2012;9163,548;19,445;283,944;8,195
28.03.2012;9182,678;19,130;292,024;8,080
29.03.2012;9196,575;13,897;301,048;9,024
30.03.2012;9201,165;4,590;305,154;4,106
31.03.2012;9213,791;12,626;313,879;8,725
