sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100071167;SN: 2100071167;SN: 2130002605;SN: 2130002605
;SB 4000TL-20;SB 4000TL-20;SB 4000TL-21;SB 4000TL-21
;2100071167;2100071167;2130002605;2130002605
;Gesamtertrag;Leistung;Gesamtertrag;Leistung
;Counter;Analog;Counter;Analog
dd.MM.yyyy HH:mm;kWh;kW;kWh;kW
02.03.2012 00:00;8839,198;0,000;145,207;0,000
02.03.2012 00:05;8839,198;0,000;145,207;0,000
02.03.2012 00:10;8839,198;0,000;145,207;0,000
02.03.2012 00:15;8839,198;0,000;145,207;0,000
02.03.2012 00:20;8839,198;0,000;145,207;0,000
02.03.2012 00:25;8839,198;0,000;145,207;0,000
02.03.2012 00:30;8839,198;0,000;145,207;0,000
02.03.2012 00:35;8839,198;0,000;145,207;0,000
02.03.2012 00:40;8839,198;0,000;145,207;0,000
02.03.2012 00:45;8839,198;0,000;145,207;0,000
02.03.2012 00:50;8839,198;0,000;145,207;0,000
02.03.2012 00:55;8839,198;0,000;145,207;0,000
02.03.2012 01:00;8839,198;0,000;145,207;0,000
02.03.2012 01:05;8839,198;0,000;145,207;0,000
02.03.2012 01:10;8839,198;0,000;145,207;0,000
02.03.2012 01:15;8839,198;0,000;145,207;0,000
02.03.2012 01:20;8839,198;0,000;145,207;0,000
02.03.2012 01:25;8839,198;0,000;145,207;0,000
02.03.2012 01:30;8839,198;0,000;145,207;0,000
02.03.2012 01:35;8839,198;0,000;145,207;0,000
02.03.2012 01:40;8839,198;0,000;145,207;0,000
02.03.2012 01:45;8839,198;0,000;145,207;0,000
02.03.2012 01:50;8839,198;0,000;145,207;0,000
02.03.2012 01:55;8839,198;0,000;145,207;0,000
02.03.2012 02:00;8839,198;0,000;145,207;0,000
02.03.2012 02:05;8839,198;0,000;145,207;0,000
02.03.2012 02:10;8839,198;0,000;145,207;0,000
02.03.2012 02:15;8839,198;0,000;145,207;0,000
02.03.2012 02:20;8839,198;0,000;145,207;0,000
02.03.2012 02:25;8839,198;0,000;145,207;0,000
02.03.2012 02:30;8839,198;0,000;145,207;0,000
02.03.2012 02:35;8839,198;0,000;145,207;0,000
02.03.2012 02:40;8839,198;0,000;145,207;0,000
02.03.2012 02:45;8839,198;0,000;145,207;0,000
02.03.2012 02:50;8839,198;0,000;145,207;0,000
02.03.2012 02:55;8839,198;0,000;145,207;0,000
02.03.2012 03:00;8839,198;0,000;145,207;0,000
02.03.2012 03:05;8839,198;0,000;145,207;0,000
02.03.2012 03:10;8839,198;0,000;145,207;0,000
02.03.2012 03:15;8839,198;0,000;145,207;0,000
02.03.2012 03:20;8839,198;0,000;145,207;0,000
02.03.2012 03:25;8839,198;0,000;145,207;0,000
02.03.2012 03:30;8839,198;0,000;145,207;0,000
02.03.2012 03:35;8839,198;0,000;145,207;0,000
02.03.2012 03:40;8839,198;0,000;145,207;0,000
02.03.2012 03:45;8839,198;0,000;145,207;0,000
02.03.2012 03:50;8839,198;0,000;145,207;0,000
02.03.2012 03:55;8839,198;0,000;145,207;0,000
02.03.2012 04:00;8839,198;0,000;145,207;0,000
02.03.2012 04:05;8839,198;0,000;145,207;0,000
02.03.2012 04:10;8839,198;0,000;145,207;0,000
02.03.2012 04:15;8839,198;0,000;145,207;0,000
02.03.2012 04:20;8839,198;0,000;145,207;0,000
02.03.2012 04:25;8839,198;0,000;145,207;0,000
02.03.2012 04:30;8839,198;0,000;145,207;0,000
02.03.2012 04:35;8839,198;0,000;145,207;0,000
02.03.2012 04:40;8839,198;0,000;145,207;0,000
02.03.2012 04:45;8839,198;0,000;145,207;0,000
02.03.2012 04:50;8839,198;0,000;145,207;0,000
02.03.2012 04:55;8839,198;0,000;145,207;0,000
02.03.2012 05:00;8839,198;0,000;145,207;0,000
02.03.2012 05:05;8839,198;0,000;145,207;0,000
02.03.2012 05:10;8839,198;0,000;145,207;0,000
02.03.2012 05:15;8839,198;0,000;145,207;0,000
02.03.2012 05:20;8839,198;0,000;145,207;0,000
02.03.2012 05:25;8839,198;0,000;145,207;0,000
02.03.2012 05:30;8839,198;0,000;145,207;0,000
02.03.2012 05:35;8839,198;0,000;145,207;0,000
02.03.2012 05:40;8839,198;0,000;145,207;0,000
02.03.2012 05:45;8839,198;0,000;145,207;0,000
02.03.2012 05:50;8839,198;0,000;145,207;0,000
02.03.2012 05:55;8839,198;0,000;145,207;0,000
02.03.2012 06:00;8839,198;0,000;145,207;0,000
02.03.2012 06:05;8839,198;0,000;145,207;0,000
02.03.2012 06:10;8839,198;0,000;145,207;0,000
02.03.2012 06:15;8839,198;0,000;145,207;0,000
02.03.2012 06:20;8839,198;0,000;145,207;0,000
02.03.2012 06:25;8839,198;0,000;145,207;0,000
02.03.2012 06:30;8839,198;0,000;145,207;0,000
02.03.2012 06:35;8839,198;0,000;145,207;0,000
02.03.2012 06:40;8839,198;0,000;145,207;0,000
02.03.2012 06:45;8839,198;0,000;145,207;0,000
02.03.2012 06:50;8839,198;0,000;145,207;0,000
02.03.2012 06:55;8839,198;0,000;145,207;0,000
02.03.2012 07:00;8839,198;0,000;145,207;0,000
02.03.2012 07:05;8839,198;0,000;145,207;0,000
02.03.2012 07:10;8839,198;0,000;145,207;0,000
02.03.2012 07:15;8839,198;0,000;145,207;0,000
02.03.2012 07:20;8839,198;0,000;145,207;0,000
02.03.2012 07:25;8839,198;0,000;145,207;0,000
02.03.2012 07:30;8839,198;0,000;145,207;0,000
02.03.2012 07:35;8839,198;0,000;145,207;0,000
02.03.2012 07:40;8839,198;0,000;145,207;0,000
02.03.2012 07:45;8839,198;0,000;145,207;0,000
02.03.2012 07:50;8839,198;0,000;145,207;0,000
02.03.2012 07:55;8839,198;0,000;145,207;0,000
02.03.2012 08:00;8839,198;0,000;145,207;0,000
02.03.2012 08:05;8839,198;0,000;145,207;0,000
02.03.2012 08:10;8839,198;0,000;145,207;0,000
02.03.2012 08:15;8839,198;0,000;145,207;0,000
02.03.2012 08:20;8839,198;0,000;145,207;0,000
02.03.2012 08:25;8839,201;0,036;145,209;0,024
02.03.2012 08:30;8839,204;0,036;145,212;0,036
02.03.2012 08:35;8839,209;0,060;145,216;0,048
02.03.2012 08:40;8839,215;0,072;145,221;0,060
02.03.2012 08:45;8839,223;0,096;145,229;0,096
02.03.2012 08:50;8839,232;0,108;145,237;0,096
02.03.2012 08:55;8839,243;0,132;145,248;0,132
02.03.2012 09:00;8839,256;0,156;145,260;0,144
02.03.2012 09:05;8839,272;0,192;145,275;0,180
02.03.2012 09:10;8839,287;0,180;145,289;0,168
02.03.2012 09:15;8839,302;0,180;145,304;0,180
02.03.2012 09:20;8839,320;0,216;145,321;0,204
02.03.2012 09:25;8839,339;0,228;145,339;0,216
02.03.2012 09:30;8839,360;0,252;145,353;0,168
02.03.2012 09:35;8839,385;0,300;145,367;0,168
02.03.2012 09:40;8839,410;0,300;145,382;0,180
02.03.2012 09:45;8839,430;0,240;145,397;0,180
02.03.2012 09:50;8839,450;0,240;145,412;0,180
02.03.2012 09:55;8839,471;0,252;145,429;0,204
02.03.2012 10:00;8839,491;0,240;145,446;0,204
02.03.2012 10:05;8839,512;0,252;145,464;0,216
02.03.2012 10:10;8839,527;0,180;145,482;0,216
02.03.2012 10:15;8839,545;0,216;145,501;0,228
02.03.2012 10:20;8839,563;0,216;145,522;0,252
02.03.2012 10:25;8839,581;0,216;145,545;0,276
02.03.2012 10:30;8839,599;0,216;145,569;0,288
02.03.2012 10:35;8839,617;0,216;145,594;0,300
02.03.2012 10:40;8839,636;0,228;145,620;0,312
02.03.2012 10:45;8839,654;0,216;145,647;0,324
02.03.2012 10:50;8839,673;0,228;145,674;0,324
02.03.2012 10:55;8839,692;0,228;145,701;0,324
02.03.2012 11:00;8839,711;0,228;145,728;0,324
02.03.2012 11:05;8839,730;0,228;145,755;0,324
02.03.2012 11:10;8839,750;0,240;145,783;0,336
02.03.2012 11:15;8839,769;0,228;145,811;0,336
02.03.2012 11:20;8839,789;0,240;145,840;0,348
02.03.2012 11:25;8839,809;0,240;145,868;0,336
02.03.2012 11:30;8839,829;0,240;145,895;0,324
02.03.2012 11:35;8839,849;0,240;145,919;0,288
02.03.2012 11:40;8839,870;0,252;145,941;0,264
02.03.2012 11:45;8839,891;0,252;145,963;0,264
02.03.2012 11:50;8839,912;0,252;145,984;0,252
02.03.2012 11:55;8839,933;0,252;146,006;0,264
02.03.2012 12:00;8839,955;0,264;146,027;0,252
02.03.2012 12:05;8839,976;0,252;146,049;0,264
02.03.2012 12:10;8839,998;0,264;146,071;0,264
02.03.2012 12:15;8840,020;0,264;146,092;0,252
02.03.2012 12:20;8840,043;0,276;146,116;0,288
02.03.2012 12:25;8840,066;0,276;146,144;0,336
02.03.2012 12:30;8840,088;0,264;146,173;0,348
02.03.2012 12:35;8840,111;0,276;146,202;0,348
02.03.2012 12:40;8840,134;0,276;146,231;0,348
02.03.2012 12:45;8840,159;0,300;146,261;0,360
02.03.2012 12:50;8840,206;0,564;146,292;0,372
02.03.2012 12:55;8840,253;0,564;146,322;0,360
02.03.2012 13:00;8840,307;0,648;146,354;0,384
02.03.2012 13:05;8840,378;0,852;146,386;0,384
02.03.2012 13:10;8840,471;1,116;146,417;0,372
02.03.2012 13:15;8840,569;1,176;146,449;0,384
02.03.2012 13:20;8840,679;1,320;146,481;0,384
02.03.2012 13:25;8840,818;1,668;146,513;0,384
02.03.2012 13:30;8840,980;1,944;146,545;0,384
02.03.2012 13:35;8841,159;2,148;146,576;0,372
02.03.2012 13:40;8841,350;2,292;146,607;0,372
