sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100071167;SN: 2100071167;SN: 2130002605;SN: 2130002605
;SB 4000TL-20;SB 4000TL-20;SB 4000TL-21;SB 4000TL-21
;2100071167;2100071167;2130002605;2130002605
;Gesamtertrag;Leistung;Gesamtertrag;Leistung
;Counter;Analog;Counter;Analog
dd.MM.yyyy HH:mm;kWh;kW;kWh;kW
06.04.2012 00:00;9285,044;0,000;350,855;0,000
06.04.2012 00:05;9285,044;0,000;350,855;0,000
06.04.2012 00:10;9285,044;0,000;350,855;0,000
06.04.2012 00:15;9285,044;0,000;350,855;0,000
06.04.2012 00:20;9285,044;0,000;350,855;0,000
06.04.2012 00:25;9285,044;0,000;350,855;0,000
06.04.2012 00:30;9285,044;0,000;350,855;0,000
06.04.2012 00:35;9285,044;0,000;350,855;0,000
06.04.2012 00:40;9285,044;0,000;350,855;0,000
06.04.2012 00:45;9285,044;0,000;350,855;0,000
06.04.2012 00:50;9285,044;0,000;350,855;0,000
06.04.2012 00:55;9285,044;0,000;350,855;0,000
06.04.2012 01:00;9285,044;0,000;350,855;0,000
06.04.2012 01:05;9285,044;0,000;350,855;0,000
06.04.2012 01:10;9285,044;0,000;350,855;0,000
06.04.2012 01:15;9285,044;0,000;350,855;0,000
06.04.2012 01:20;9285,044;0,000;350,855;0,000
06.04.2012 01:25;9285,044;0,000;350,855;0,000
06.04.2012 01:30;9285,044;0,000;350,855;0,000
06.04.2012 01:35;9285,044;0,000;350,855;0,000
06.04.2012 01:40;9285,044;0,000;350,855;0,000
06.04.2012 01:45;9285,044;0,000;350,855;0,000
06.04.2012 01:50;9285,044;0,000;350,855;0,000
06.04.2012 01:55;9285,044;0,000;350,855;0,000
06.04.2012 02:00;9285,044;0,000;350,855;0,000
06.04.2012 02:05;9285,044;0,000;350,855;0,000
06.04.2012 02:10;9285,044;0,000;350,855;0,000
06.04.2012 02:15;9285,044;0,000;350,855;0,000
06.04.2012 02:20;9285,044;0,000;350,855;0,000
06.04.2012 02:25;9285,044;0,000;350,855;0,000
06.04.2012 02:30;9285,044;0,000;350,855;0,000
06.04.2012 02:35;9285,044;0,000;350,855;0,000
06.04.2012 02:40;9285,044;0,000;350,855;0,000
06.04.2012 02:45;9285,044;0,000;350,855;0,000
06.04.2012 02:50;9285,044;0,000;350,855;0,000
06.04.2012 02:55;9285,044;0,000;350,855;0,000
06.04.2012 03:00;9285,044;0,000;350,855;0,000
06.04.2012 03:05;9285,044;0,000;350,855;0,000
06.04.2012 03:10;9285,044;0,000;350,855;0,000
06.04.2012 03:15;9285,044;0,000;350,855;0,000
06.04.2012 03:20;9285,044;0,000;350,855;0,000
06.04.2012 03:25;9285,044;0,000;350,855;0,000
06.04.2012 03:30;9285,044;0,000;350,855;0,000
06.04.2012 03:35;9285,044;0,000;350,855;0,000
06.04.2012 03:40;9285,044;0,000;350,855;0,000
06.04.2012 03:45;9285,044;0,000;350,855;0,000
06.04.2012 03:50;9285,044;0,000;350,855;0,000
06.04.2012 03:55;9285,044;0,000;350,855;0,000
06.04.2012 04:00;9285,044;0,000;350,855;0,000
06.04.2012 04:05;9285,044;0,000;350,855;0,000
06.04.2012 04:10;9285,044;0,000;350,855;0,000
06.04.2012 04:15;9285,044;0,000;350,855;0,000
06.04.2012 04:20;9285,044;0,000;350,855;0,000
06.04.2012 04:25;9285,044;0,000;350,855;0,000
06.04.2012 04:30;9285,044;0,000;350,855;0,000
06.04.2012 04:35;9285,044;0,000;350,855;0,000
06.04.2012 04:40;9285,044;0,000;350,855;0,000
06.04.2012 04:45;9285,044;0,000;350,855;0,000
06.04.2012 04:50;9285,044;0,000;350,855;0,000
06.04.2012 04:55;9285,044;0,000;350,855;0,000
06.04.2012 05:00;9285,044;0,000;350,855;0,000
06.04.2012 05:05;9285,044;0,000;350,855;0,000
06.04.2012 05:10;9285,044;0,000;350,855;0,000
06.04.2012 05:15;9285,044;0,000;350,855;0,000
06.04.2012 05:20;9285,044;0,000;350,855;0,000
06.04.2012 05:25;9285,044;0,000;350,855;0,000
06.04.2012 05:30;9285,044;0,000;350,855;0,000
06.04.2012 05:35;9285,044;0,000;350,855;0,000
06.04.2012 05:40;9285,044;0,000;350,855;0,000
06.04.2012 05:45;9285,044;0,000;350,855;0,000
06.04.2012 05:50;9285,044;0,000;350,855;0,000
06.04.2012 05:55;9285,044;0,000;350,855;0,000
06.04.2012 06:00;9285,044;0,000;350,855;0,000
06.04.2012 06:05;9285,044;0,000;350,855;0,000
06.04.2012 06:10;9285,044;0,000;350,855;0,000
06.04.2012 06:15;9285,044;0,000;350,855;0,000
06.04.2012 06:20;9285,044;0,000;350,855;0,000
06.04.2012 06:25;9285,044;0,000;350,855;0,000
06.04.2012 06:30;9285,044;0,000;350,855;0,000
06.04.2012 06:35;9285,044;0,000;350,855;0,000
06.04.2012 06:40;9285,044;0,000;350,855;0,000
06.04.2012 06:45;9285,044;0,000;350,855;0,000
06.04.2012 06:50;9285,044;0,000;350,855;0,000
06.04.2012 06:55;9285,044;0,000;350,855;0,000
06.04.2012 07:00;9285,044;0,000;350,855;0,000
06.04.2012 07:05;9285,044;0,000;350,855;0,000
06.04.2012 07:10;9285,044;0,000;350,855;0,000
06.04.2012 07:15;9285,044;0,000;350,855;0,000
06.04.2012 07:20;9285,044;0,000;350,855;0,000
06.04.2012 07:25;9285,044;0,000;350,855;0,000
06.04.2012 07:30;9285,044;0,000;350,855;0,000
06.04.2012 07:35;9285,044;0,000;350,855;0,000
06.04.2012 07:40;9285,044;0,000;350,855;0,000
06.04.2012 07:45;9285,044;0,000;350,855;0,000
06.04.2012 07:50;9285,047;0,036;350,856;0,012
06.04.2012 07:55;9285,050;0,036;350,858;0,024
06.04.2012 08:00;9285,053;0,036;350,860;0,024
06.04.2012 08:05;9285,056;0,036;350,862;0,024
06.04.2012 08:10;9285,060;0,048;350,865;0,036
06.04.2012 08:15;9285,064;0,048;350,870;0,060
06.04.2012 08:20;9285,071;0,084;350,876;0,072
06.04.2012 08:25;9285,078;0,084;350,883;0,084
06.04.2012 08:30;9285,088;0,120;350,889;0,072
06.04.2012 08:35;9285,096;0,096;350,893;0,048
06.04.2012 08:40;9285,102;0,072;350,896;0,036
06.04.2012 08:45;9285,106;0,048;350,901;0,060
06.04.2012 08:50;9285,113;0,084;350,909;0,096
06.04.2012 08:55;9285,122;0,108;350,919;0,120
06.04.2012 09:00;9285,134;0,144;350,931;0,144
06.04.2012 09:05;9285,148;0,168;350,944;0,156
06.04.2012 09:10;9285,164;0,192;350,956;0,144
06.04.2012 09:15;9285,178;0,168;350,969;0,156
06.04.2012 09:20;9285,194;0,192;350,979;0,120
06.04.2012 09:25;9285,206;0,144;350,988;0,108
06.04.2012 09:30;9285,218;0,144;350,997;0,108
06.04.2012 09:35;9285,229;0,132;351,005;0,096
06.04.2012 09:40;9285,239;0,120;351,013;0,096
06.04.2012 09:45;9285,250;0,132;351,021;0,096
06.04.2012 09:50;9285,260;0,120;351,031;0,120
06.04.2012 09:55;9285,271;0,132;351,047;0,192
06.04.2012 10:00;9285,289;0,216;351,064;0,204
06.04.2012 10:05;9285,309;0,240;351,080;0,192
06.04.2012 10:10;9285,328;0,228;351,096;0,192
06.04.2012 10:15;9285,348;0,240;351,111;0,180
06.04.2012 10:20;9285,366;0,216;351,128;0,204
06.04.2012 10:25;9285,385;0,228;351,149;0,252
06.04.2012 10:30;9285,408;0,276;351,170;0,252
06.04.2012 10:35;9285,433;0,300;351,192;0,264
06.04.2012 10:40;9285,460;0,324;351,215;0,276
06.04.2012 10:45;9285,487;0,324;351,250;0,420
06.04.2012 10:50;9285,528;0,492;351,290;0,480
06.04.2012 10:55;9285,573;0,540;351,322;0,384
06.04.2012 11:00;9285,613;0,480;351,350;0,336
06.04.2012 11:05;9285,648;0,420;351,381;0,372
06.04.2012 11:10;9285,683;0,420;351,416;0,420
06.04.2012 11:15;9285,721;0,456;351,449;0,396
06.04.2012 11:20;9285,757;0,432;351,478;0,348
06.04.2012 11:25;9285,790;0,396;351,504;0,312
06.04.2012 11:30;9285,817;0,324;351,530;0,312
06.04.2012 11:35;9285,843;0,312;351,564;0,408
06.04.2012 11:40;9285,875;0,384;351,609;0,540
06.04.2012 11:45;9285,924;0,588;351,659;0,600
06.04.2012 11:50;9285,976;0,624;351,709;0,600
06.04.2012 11:55;9286,032;0,672;351,743;0,408
06.04.2012 12:00;9286,072;0,480;351,774;0,372
06.04.2012 12:05;9286,110;0,456;351,813;0,468
06.04.2012 12:10;9286,154;0,528;351,862;0,588
06.04.2012 12:15;9286,210;0,672;351,916;0,648
06.04.2012 12:20;9286,268;0,696;351,972;0,672
06.04.2012 12:25;9286,325;0,684;352,016;0,528
06.04.2012 12:30;9286,369;0,528;352,059;0,516
06.04.2012 12:35;9286,413;0,528;352,115;0,672
06.04.2012 12:40;9286,468;0,660;352,203;1,056
06.04.2012 12:45;9286,546;0,936;352,287;1,008
06.04.2012 12:50;9286,624;0,936;352,357;0,840
06.04.2012 12:55;9286,697;0,876;352,413;0,672
06.04.2012 13:00;9286,755;0,696;352,461;0,576
06.04.2012 13:05;9286,809;0,648;352,501;0,480
06.04.2012 13:10;9286,861;0,624;352,534;0,396
06.04.2012 13:15;9286,901;0,480;352,570;0,432
06.04.2012 13:20;9286,945;0,528;352,613;0,516
06.04.2012 13:25;9286,991;0,552;352,652;0,468
06.04.2012 13:30;9287,031;0,480;352,701;0,588
06.04.2012 13:35;9287,081;0,600;352,759;0,696
06.04.2012 13:40;9287,143;0,744;352,812;0,636
