sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100071167;SN: 2100071167;SN: 2130002605;SN: 2130002605
;SB 4000TL-20;SB 4000TL-20;SB 4000TL-21;SB 4000TL-21
;2100071167;2100071167;2130002605;2130002605
;Gesamtertrag;Leistung;Gesamtertrag;Leistung
;Counter;Analog;Counter;Analog
dd.MM.yyyy HH:mm;kWh;kW;kWh;kW
06.05.2012 00:00;9733,256;0,000;647,567;0,000
06.05.2012 00:05;9733,256;0,000;647,567;0,000
06.05.2012 00:10;9733,256;0,000;647,567;0,000
06.05.2012 00:15;9733,256;0,000;647,567;0,000
06.05.2012 00:20;9733,256;0,000;647,567;0,000
06.05.2012 00:25;9733,256;0,000;647,567;0,000
06.05.2012 00:30;9733,256;0,000;647,567;0,000
06.05.2012 00:35;9733,256;0,000;647,567;0,000
06.05.2012 00:40;9733,256;0,000;647,567;0,000
06.05.2012 00:45;9733,256;0,000;647,567;0,000
06.05.2012 00:50;9733,256;0,000;647,567;0,000
06.05.2012 00:55;9733,256;0,000;647,567;0,000
06.05.2012 01:00;9733,256;0,000;647,567;0,000
06.05.2012 01:05;9733,256;0,000;647,567;0,000
06.05.2012 01:10;9733,256;0,000;647,567;0,000
06.05.2012 01:15;9733,256;0,000;647,567;0,000
06.05.2012 01:20;9733,256;0,000;647,567;0,000
06.05.2012 01:25;9733,256;0,000;647,567;0,000
06.05.2012 01:30;9733,256;0,000;647,567;0,000
06.05.2012 01:35;9733,256;0,000;647,567;0,000
06.05.2012 01:40;9733,256;0,000;647,567;0,000
06.05.2012 01:45;9733,256;0,000;647,567;0,000
06.05.2012 01:50;9733,256;0,000;647,567;0,000
06.05.2012 01:55;9733,256;0,000;647,567;0,000
06.05.2012 02:00;9733,256;0,000;647,567;0,000
06.05.2012 02:05;9733,256;0,000;647,567;0,000
06.05.2012 02:10;9733,256;0,000;647,567;0,000
06.05.2012 02:15;9733,256;0,000;647,567;0,000
06.05.2012 02:20;9733,256;0,000;647,567;0,000
06.05.2012 02:25;9733,256;0,000;647,567;0,000
06.05.2012 02:30;9733,256;0,000;647,567;0,000
06.05.2012 02:35;9733,256;0,000;647,567;0,000
06.05.2012 02:40;9733,256;0,000;647,567;0,000
06.05.2012 02:45;9733,256;0,000;647,567;0,000
06.05.2012 02:50;9733,256;0,000;647,567;0,000
06.05.2012 02:55;9733,256;0,000;647,567;0,000
06.05.2012 03:00;9733,256;0,000;647,567;0,000
06.05.2012 03:05;9733,256;0,000;647,567;0,000
06.05.2012 03:10;9733,256;0,000;647,567;0,000
06.05.2012 03:15;9733,256;0,000;647,567;0,000
06.05.2012 03:20;9733,256;0,000;647,567;0,000
06.05.2012 03:25;9733,256;0,000;647,567;0,000
06.05.2012 03:30;9733,256;0,000;647,567;0,000
06.05.2012 03:35;9733,256;0,000;647,567;0,000
06.05.2012 03:40;9733,256;0,000;647,567;0,000
06.05.2012 03:45;9733,256;0,000;647,567;0,000
06.05.2012 03:50;9733,256;0,000;647,567;0,000
06.05.2012 03:55;9733,256;0,000;647,567;0,000
06.05.2012 04:00;9733,256;0,000;647,567;0,000
06.05.2012 04:05;9733,256;0,000;647,567;0,000
06.05.2012 04:10;9733,256;0,000;647,567;0,000
06.05.2012 04:15;9733,256;0,000;647,567;0,000
06.05.2012 04:20;9733,256;0,000;647,567;0,000
06.05.2012 04:25;9733,256;0,000;647,567;0,000
06.05.2012 04:30;9733,256;0,000;647,567;0,000
06.05.2012 04:35;9733,256;0,000;647,567;0,000
06.05.2012 04:40;9733,256;0,000;647,567;0,000
06.05.2012 04:45;9733,256;0,000;647,567;0,000
06.05.2012 04:50;9733,256;0,000;647,567;0,000
06.05.2012 04:55;9733,256;0,000;647,567;0,000
06.05.2012 05:00;9733,256;0,000;647,567;0,000
06.05.2012 05:05;9733,256;0,000;647,567;0,000
06.05.2012 05:10;9733,256;0,000;647,567;0,000
06.05.2012 05:15;9733,256;0,000;647,567;0,000
06.05.2012 05:20;9733,256;0,000;647,567;0,000
06.05.2012 05:25;9733,256;0,000;647,567;0,000
06.05.2012 05:30;9733,256;0,000;647,567;0,000
06.05.2012 05:35;9733,256;0,000;647,567;0,000
06.05.2012 05:40;9733,256;0,000;647,567;0,000
06.05.2012 05:45;9733,256;0,000;647,567;0,000
06.05.2012 05:50;9733,256;0,000;647,567;0,000
06.05.2012 05:55;9733,256;0,000;647,567;0,000
06.05.2012 06:00;9733,256;0,000;647,567;0,000
06.05.2012 06:05;9733,256;0,000;647,567;0,000
06.05.2012 06:10;9733,256;0,000;647,567;0,000
06.05.2012 06:15;9733,256;0,000;647,567;0,000
06.05.2012 06:20;9733,256;0,000;647,567;0,000
06.05.2012 06:25;9733,256;0,000;647,567;0,000
06.05.2012 06:30;9733,256;0,000;647,567;0,000
06.05.2012 06:35;9733,259;0,036;647,568;0,012
06.05.2012 06:40;9733,264;0,060;647,571;0,036
06.05.2012 06:45;9733,273;0,108;647,578;0,084
06.05.2012 06:50;9733,289;0,192;647,591;0,156
06.05.2012 06:55;9733,306;0,204;647,605;0,168
06.05.2012 07:00;9733,324;0,216;647,622;0,204
06.05.2012 07:05;9733,344;0,240;647,641;0,228
06.05.2012 07:10;9733,368;0,288;647,662;0,252
06.05.2012 07:15;9733,389;0,252;647,680;0,216
06.05.2012 07:20;9733,410;0,252;647,698;0,216
06.05.2012 07:25;9733,430;0,240;647,714;0,192
06.05.2012 07:30;9733,449;0,228;647,729;0,180
06.05.2012 07:35;9733,466;0,204;647,744;0,180
06.05.2012 07:40;9733,480;0,168;647,756;0,144
06.05.2012 07:45;9733,498;0,216;647,768;0,144
06.05.2012 07:50;9733,516;0,216;647,783;0,180
06.05.2012 07:55;9733,530;0,168;647,794;0,132
06.05.2012 08:00;9733,544;0,168;647,804;0,120
06.05.2012 08:05;9733,554;0,120;647,812;0,096
06.05.2012 08:10;9733,565;0,132;647,820;0,096
06.05.2012 08:15;9733,574;0,108;647,828;0,096
06.05.2012 08:20;9733,583;0,108;647,835;0,084
06.05.2012 08:25;9733,593;0,120;647,842;0,084
06.05.2012 08:30;9733,605;0,144;647,850;0,096
06.05.2012 08:35;9733,626;0,252;647,864;0,168
06.05.2012 08:40;9733,654;0,336;647,886;0,264
06.05.2012 08:45;9733,683;0,348;647,910;0,288
06.05.2012 08:50;9733,706;0,276;647,930;0,240
06.05.2012 08:55;9733,729;0,276;647,948;0,216
06.05.2012 09:00;9733,751;0,264;647,966;0,216
06.05.2012 09:05;9733,770;0,228;647,981;0,180
06.05.2012 09:10;9733,788;0,216;647,996;0,180
06.05.2012 09:15;9733,807;0,228;648,012;0,192
06.05.2012 09:20;9733,825;0,216;648,027;0,180
06.05.2012 09:25;9733,843;0,216;648,041;0,168
06.05.2012 09:30;9733,862;0,228;648,057;0,192
06.05.2012 09:35;9733,880;0,216;648,072;0,180
06.05.2012 09:40;9733,900;0,240;648,088;0,192
06.05.2012 09:45;9733,925;0,300;648,108;0,240
06.05.2012 09:50;9733,951;0,312;648,130;0,264
06.05.2012 09:55;9733,979;0,336;648,154;0,288
06.05.2012 10:00;9734,006;0,324;648,179;0,300
06.05.2012 10:05;9734,036;0,360;648,206;0,324
06.05.2012 10:10;9734,074;0,456;648,238;0,384
06.05.2012 10:15;9734,117;0,516;648,277;0,468
06.05.2012 10:20;9734,155;0,456;648,312;0,420
06.05.2012 10:25;9734,187;0,384;648,341;0,348
06.05.2012 10:30;9734,217;0,360;648,366;0,300
06.05.2012 10:35;9734,258;0,492;648,400;0,408
06.05.2012 10:40;9734,303;0,540;648,440;0,480
06.05.2012 10:45;9734,351;0,576;648,485;0,540
06.05.2012 10:50;9734,397;0,552;648,529;0,528
06.05.2012 10:55;9734,451;0,648;648,575;0,552
06.05.2012 11:00;9734,528;0,924;648,642;0,804
06.05.2012 11:05;9734,612;1,008;648,719;0,924
06.05.2012 11:10;9734,697;1,020;648,796;0,924
06.05.2012 11:15;9734,781;1,008;648,869;0,876
06.05.2012 11:20;9734,870;1,068;648,949;0,960
06.05.2012 11:25;9734,952;0,984;649,031;0,984
06.05.2012 11:30;9735,018;0,792;649,099;0,816
06.05.2012 11:35;9735,078;0,720;649,161;0,744
06.05.2012 11:40;9735,137;0,708;649,219;0,696
06.05.2012 11:45;9735,195;0,696;649,273;0,648
06.05.2012 11:50;9735,254;0,708;649,327;0,648
06.05.2012 11:55;9735,308;0,648;649,378;0,612
06.05.2012 12:00;9735,355;0,564;649,422;0,528
06.05.2012 12:05;9735,401;0,552;649,463;0,492
06.05.2012 12:10;9735,451;0,600;649,508;0,540
06.05.2012 12:15;9735,506;0,660;649,557;0,588
06.05.2012 12:20;9735,560;0,648;649,608;0,612
06.05.2012 12:25;9735,607;0,564;649,651;0,516
06.05.2012 12:30;9735,655;0,576;649,694;0,516
06.05.2012 12:35;9735,704;0,588;649,739;0,540
06.05.2012 12:40;9735,749;0,540;649,781;0,504
06.05.2012 12:45;9735,792;0,516;649,820;0,468
06.05.2012 12:50;9735,838;0,552;649,860;0,480
06.05.2012 12:55;9735,887;0,588;649,904;0,528
06.05.2012 13:00;9735,933;0,552;649,944;0,480
06.05.2012 13:05;9735,966;0,396;649,975;0,372
06.05.2012 13:10;9735,995;0,348;650,002;0,324
06.05.2012 13:15;9736,016;0,252;650,022;0,240
06.05.2012 13:20;9736,032;0,192;650,036;0,168
06.05.2012 13:25;9736,046;0,168;650,049;0,156
06.05.2012 13:30;9736,062;0,192;650,062;0,156
06.05.2012 13:35;9736,083;0,252;650,080;0,216
06.05.2012 13:40;9736,108;0,300;650,101;0,252
