sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100071167;SN: 2100071167;SN: 2130002605;SN: 2130002605
;SB 4000TL-20;SB 4000TL-20;SB 4000TL-21;SB 4000TL-21
;2100071167;2100071167;2130002605;2130002605
;Gesamtertrag;Leistung;Gesamtertrag;Leistung
;Counter;Analog;Counter;Analog
dd.MM.yyyy HH:mm;kWh;kW;kWh;kW
29.02.2012 00:00;8812,894;0,000;139,489;0,000
29.02.2012 00:05;8812,894;0,000;139,489;0,000
29.02.2012 00:10;8812,894;0,000;139,489;0,000
29.02.2012 00:15;8812,894;0,000;139,489;0,000
29.02.2012 00:20;8812,894;0,000;139,489;0,000
29.02.2012 00:25;8812,894;0,000;139,489;0,000
29.02.2012 00:30;8812,894;0,000;139,489;0,000
29.02.2012 00:35;8812,894;0,000;139,489;0,000
29.02.2012 00:40;8812,894;0,000;139,489;0,000
29.02.2012 00:45;8812,894;0,000;139,489;0,000
29.02.2012 00:50;8812,894;0,000;139,489;0,000
29.02.2012 00:55;8812,894;0,000;139,489;0,000
29.02.2012 01:00;8812,894;0,000;139,489;0,000
29.02.2012 01:05;8812,894;0,000;139,489;0,000
29.02.2012 01:10;8812,894;0,000;139,489;0,000
29.02.2012 01:15;8812,894;0,000;139,489;0,000
29.02.2012 01:20;8812,894;0,000;139,489;0,000
29.02.2012 01:25;8812,894;0,000;139,489;0,000
29.02.2012 01:30;8812,894;0,000;139,489;0,000
29.02.2012 01:35;8812,894;0,000;139,489;0,000
29.02.2012 01:40;8812,894;0,000;139,489;0,000
29.02.2012 01:45;8812,894;0,000;139,489;0,000
29.02.2012 01:50;8812,894;0,000;139,489;0,000
29.02.2012 01:55;8812,894;0,000;139,489;0,000
29.02.2012 02:00;8812,894;0,000;139,489;0,000
29.02.2012 02:05;8812,894;0,000;139,489;0,000
29.02.2012 02:10;8812,894;0,000;139,489;0,000
29.02.2012 02:15;8812,894;0,000;139,489;0,000
29.02.2012 02:20;8812,894;0,000;139,489;0,000
29.02.2012 02:25;8812,894;0,000;139,489;0,000
29.02.2012 02:30;8812,894;0,000;139,489;0,000
29.02.2012 02:35;8812,894;0,000;139,489;0,000
29.02.2012 02:40;8812,894;0,000;139,489;0,000
29.02.2012 02:45;8812,894;0,000;139,489;0,000
29.02.2012 02:50;8812,894;0,000;139,489;0,000
29.02.2012 02:55;8812,894;0,000;139,489;0,000
29.02.2012 03:00;8812,894;0,000;139,489;0,000
29.02.2012 03:05;8812,894;0,000;139,489;0,000
29.02.2012 03:10;8812,894;0,000;139,489;0,000
29.02.2012 03:15;8812,894;0,000;139,489;0,000
29.02.2012 03:20;8812,894;0,000;139,489;0,000
29.02.2012 03:25;8812,894;0,000;139,489;0,000
29.02.2012 03:30;8812,894;0,000;139,489;0,000
29.02.2012 03:35;8812,894;0,000;139,489;0,000
29.02.2012 03:40;8812,894;0,000;139,489;0,000
29.02.2012 03:45;8812,894;0,000;139,489;0,000
29.02.2012 03:50;8812,894;0,000;139,489;0,000
29.02.2012 03:55;8812,894;0,000;139,489;0,000
29.02.2012 04:00;8812,894;0,000;139,489;0,000
29.02.2012 04:05;8812,894;0,000;139,489;0,000
29.02.2012 04:10;8812,894;0,000;139,489;0,000
29.02.2012 04:15;8812,894;0,000;139,489;0,000
29.02.2012 04:20;8812,894;0,000;139,489;0,000
29.02.2012 04:25;8812,894;0,000;139,489;0,000
29.02.2012 04:30;8812,894;0,000;139,489;0,000
29.02.2012 04:35;8812,894;0,000;139,489;0,000
29.02.2012 04:40;8812,894;0,000;139,489;0,000
29.02.2012 04:45;8812,894;0,000;139,489;0,000
29.02.2012 04:50;8812,894;0,000;139,489;0,000
29.02.2012 04:55;8812,894;0,000;139,489;0,000
29.02.2012 05:00;8812,894;0,000;139,489;0,000
29.02.2012 05:05;8812,894;0,000;139,489;0,000
29.02.2012 05:10;8812,894;0,000;139,489;0,000
29.02.2012 05:15;8812,894;0,000;139,489;0,000
29.02.2012 05:20;8812,894;0,000;139,489;0,000
29.02.2012 05:25;8812,894;0,000;139,489;0,000
29.02.2012 05:30;8812,894;0,000;139,489;0,000
29.02.2012 05:35;8812,894;0,000;139,489;0,000
29.02.2012 05:40;8812,894;0,000;139,489;0,000
29.02.2012 05:45;8812,894;0,000;139,489;0,000
29.02.2012 05:50;8812,894;0,000;139,489;0,000
29.02.2012 05:55;8812,894;0,000;139,489;0,000
29.02.2012 06:00;8812,894;0,000;139,489;0,000
29.02.2012 06:05;8812,894;0,000;139,489;0,000
29.02.2012 06:10;8812,894;0,000;139,489;0,000
29.02.2012 06:15;8812,894;0,000;139,489;0,000
29.02.2012 06:20;8812,894;0,000;139,489;0,000
29.02.2012 06:25;8812,894;0,000;139,489;0,000
29.02.2012 06:30;8812,894;0,000;139,489;0,000
29.02.2012 06:35;8812,894;0,000;139,489;0,000
29.02.2012 06:40;8812,894;0,000;139,489;0,000
29.02.2012 06:45;8812,894;0,000;139,489;0,000
29.02.2012 06:50;8812,894;0,000;139,489;0,000
29.02.2012 06:55;8812,894;0,000;139,489;0,000
29.02.2012 07:00;8812,894;0,000;139,489;0,000
29.02.2012 07:05;8812,894;0,000;139,489;0,000
29.02.2012 07:10;8812,894;0,000;139,489;0,000
29.02.2012 07:15;8812,894;0,000;139,489;0,000
29.02.2012 07:20;8812,894;0,000;139,489;0,000
29.02.2012 07:25;8812,894;0,000;139,489;0,000
29.02.2012 07:30;8812,894;0,000;139,489;0,000
29.02.2012 07:35;8812,894;0,000;139,489;0,000
29.02.2012 07:40;8812,894;0,000;139,489;0,000
29.02.2012 07:45;8812,894;0,000;139,489;0,000
29.02.2012 07:50;8812,894;0,000;139,489;0,000
29.02.2012 07:55;8812,894;0,000;139,489;0,000
29.02.2012 08:00;8812,894;0,000;139,489;0,000
29.02.2012 08:05;8812,894;0,000;139,489;0,000
29.02.2012 08:10;8812,894;0,000;139,489;0,000
29.02.2012 08:15;8812,894;0,000;139,489;0,000
29.02.2012 08:20;8812,894;0,000;139,489;0,000
29.02.2012 08:25;8812,894;0,000;139,489;0,000
29.02.2012 08:30;8812,894;0,000;139,489;0,000
29.02.2012 08:35;8812,894;0,000;139,489;0,000
29.02.2012 08:40;8812,894;0,000;139,489;0,000
29.02.2012 08:45;8812,897;0,036;139,490;0,012
29.02.2012 08:50;8812,901;0,048;139,494;0,048
29.02.2012 08:55;8812,906;0,060;139,499;0,060
29.02.2012 09:00;8812,914;0,096;139,505;0,072
29.02.2012 09:05;8812,923;0,108;139,512;0,084
29.02.2012 09:10;8812,935;0,144;139,522;0,120
29.02.2012 09:15;8812,948;0,156;139,533;0,132
29.02.2012 09:20;8812,962;0,168;139,545;0,144
29.02.2012 09:25;8812,979;0,204;139,560;0,180
29.02.2012 09:30;8812,999;0,240;139,579;0,228
29.02.2012 09:35;8813,020;0,252;139,598;0,228
29.02.2012 09:40;8813,041;0,252;139,619;0,252
29.02.2012 09:45;8813,061;0,240;139,639;0,240
29.02.2012 09:50;8813,081;0,240;139,659;0,240
29.02.2012 09:55;8813,100;0,228;139,678;0,228
29.02.2012 10:00;8813,120;0,240;139,698;0,240
29.02.2012 10:05;8813,137;0,204;139,716;0,216
29.02.2012 10:10;8813,166;0,348;139,747;0,372
29.02.2012 10:15;8813,208;0,504;139,788;0,492
29.02.2012 10:20;8813,251;0,516;139,830;0,504
29.02.2012 10:25;8813,302;0,612;139,878;0,576
29.02.2012 10:30;8813,343;0,492;139,917;0,468
29.02.2012 10:35;8813,384;0,492;139,958;0,492
29.02.2012 10:40;8813,426;0,504;139,999;0,492
29.02.2012 10:45;8813,466;0,480;140,043;0,528
29.02.2012 10:50;8813,517;0,612;140,095;0,624
29.02.2012 10:55;8813,567;0,600;140,142;0,564
29.02.2012 11:00;8813,614;0,564;140,186;0,528
29.02.2012 11:05;8813,664;0,600;140,233;0,564
29.02.2012 11:10;8813,711;0,564;140,274;0,492
29.02.2012 11:15;8813,750;0,468;140,310;0,432
29.02.2012 11:20;8813,801;0,612;140,357;0,564
29.02.2012 11:25;8813,859;0,696;140,412;0,660
29.02.2012 11:30;8813,921;0,744;140,468;0,672
29.02.2012 11:35;8813,981;0,720;140,521;0,636
29.02.2012 11:40;8814,041;0,720;140,573;0,624
29.02.2012 11:45;8814,091;0,600;140,619;0,552
29.02.2012 11:50;8814,131;0,480;140,656;0,444
29.02.2012 11:55;8814,163;0,384;140,690;0,408
29.02.2012 12:00;8814,192;0,348;140,722;0,384
29.02.2012 12:05;8814,220;0,336;140,752;0,360
29.02.2012 12:10;8814,245;0,300;140,779;0,324
29.02.2012 12:15;8814,274;0,348;140,811;0,384
29.02.2012 12:20;8814,316;0,504;140,845;0,408
29.02.2012 12:25;8814,357;0,492;140,877;0,384
29.02.2012 12:30;8814,394;0,444;140,907;0,360
29.02.2012 12:35;8814,424;0,360;140,936;0,348
29.02.2012 12:40;8814,451;0,324;140,965;0,348
29.02.2012 12:45;8814,485;0,408;140,992;0,324
29.02.2012 12:50;8814,533;0,576;141,022;0,360
29.02.2012 12:55;8814,582;0,588;141,059;0,444
29.02.2012 13:00;8814,639;0,684;141,098;0,468
29.02.2012 13:05;8814,710;0,852;141,137;0,468
29.02.2012 13:10;8814,797;1,044;141,171;0,408
29.02.2012 13:15;8814,893;1,152;141,202;0,372
29.02.2012 13:20;8814,995;1,224;141,235;0,396
29.02.2012 13:25;8815,124;1,548;141,273;0,456
29.02.2012 13:30;8815,283;1,908;141,317;0,528
29.02.2012 13:35;8815,381;1,176;141,370;0,636
29.02.2012 13:40;8815,489;1,296;141,438;0,816
