sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon

DeviceType;DeviceLocation;SusyId;SerNo;TimeStamp;EntryId;EventCode;EventType;Category;Group;Tag
SB 4000TL-21;SN: 2130002605;138;2130002605;15.01.2012 09:33;1309;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;16.01.2012 09:33;1330;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;17.01.2012 09:36;1351;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;18.01.2012 09:33;1367;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;19.01.2012 09:43;1392;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;20.01.2012 09:59;1400;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;21.01.2012 10:38;1453;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;21.01.2012 12:28;1460;3901;Incoming;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;21.01.2012 13:01;1464;3901;Outgoing;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;22.01.2012 09:40;1502;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;23.01.2012 09:49;1510;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;24.01.2012 10:35;1545;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;24.01.2012 12:54;1570;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;24.01.2012 17:35;1617;3901;Incoming;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;24.01.2012 17:41;1621;3901;Outgoing;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;25.01.2012 09:49;1628;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;25.01.2012 10:28;1629;3901;Incoming;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-20;SN: 2100071167;78;2100071167;25.01.2012 10:36;8056;39;Incoming;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;25.01.2012 12:05;1635;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;25.01.2012 12:41;1637;3901;Incoming;Warning;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-20;SN: 2100071167;78;2100071167;25.01.2012 12:44;8063;39;Incoming;Warning;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-20;SN: 2100071167;78;2100071167;25.01.2012 13:22;8070;39;Outgoing;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;25.01.2012 17:50;1648;3901;Outgoing;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;26.01.2012 09:35;1654;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;27.01.2012 09:27;1669;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;27.01.2012 10:05;1671;3901;Incoming;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;27.01.2012 10:08;1675;3901;Outgoing;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;28.01.2012 10:40;1686;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;28.01.2012 11:21;1688;3901;Incoming;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;28.01.2012 12:54;1695;3901;Outgoing;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;28.01.2012 12:57;1700;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;29.01.2012 09:53;1742;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;29.01.2012 10:37;1744;3901;Incoming;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;29.01.2012 10:51;1748;3901;Outgoing;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;30.01.2012 09:46;1779;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;31.01.2012 09:31;1795;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;01.02.2012 09:23;1811;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;02.02.2012 09:23;1831;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;03.02.2012 09:16;1842;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;04.02.2012 09:17;1858;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;05.02.2012 09:15;1874;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;06.02.2012 09:15;1885;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;07.02.2012 09:45;1892;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 4000TL-21;SN: 2130002605;138;2130002605;07.02.2012 10:23;1894;3901;Incoming;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;07.02.2012 11:17;1898;3901;Outgoing;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;07.02.2012 17:36;1926;3901;Incoming;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-20;SN: 2100071167;78;2100071167;07.02.2012 17:39;8192;39;Incoming;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;07.02.2012 17:51;1939;3901;Outgoing;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-20;SN: 2100071167;78;2100071167;07.02.2012 18:25;8195;39;Outgoing;Info;DC-Seite;Warten auf DC-Startbedingungen
SB 4000TL-21;SN: 2130002605;138;2130002605;08.02.2012 09:27;1943;10223;Event;Info;Gerät;Intervallzeit abgelaufen
