sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100071167;SN: 2100071167;SN: 2130002605;SN: 2130002605
;SB 4000TL-20;SB 4000TL-20;SB 4000TL-21;SB 4000TL-21
;2100071167;2100071167;2130002605;2130002605
;Gesamtertrag;Leistung;Gesamtertrag;Leistung
;Counter;Analog;Counter;Analog
dd.MM.yyyy HH:mm;kWh;kW;kWh;kW
03.06.2012 00:00;10298,520;0,000;1023,329;0,000
03.06.2012 00:05;10298,520;0,000;1023,329;0,000
03.06.2012 00:10;10298,520;0,000;1023,329;0,000
03.06.2012 00:15;10298,520;0,000;1023,329;0,000
03.06.2012 00:20;10298,520;0,000;1023,329;0,000
03.06.2012 00:25;10298,520;0,000;1023,329;0,000
03.06.2012 00:30;10298,520;0,000;1023,329;0,000
03.06.2012 00:35;10298,520;0,000;1023,329;0,000
03.06.2012 00:40;10298,520;0,000;1023,329;0,000
03.06.2012 00:45;10298,520;0,000;1023,329;0,000
03.06.2012 00:50;10298,520;0,000;1023,329;0,000
03.06.2012 00:55;10298,520;0,000;1023,329;0,000
03.06.2012 01:00;10298,520;0,000;1023,329;0,000
03.06.2012 01:05;10298,520;0,000;1023,329;0,000
03.06.2012 01:10;10298,520;0,000;1023,329;0,000
03.06.2012 01:15;10298,520;0,000;1023,329;0,000
03.06.2012 01:20;10298,520;0,000;1023,329;0,000
03.06.2012 01:25;10298,520;0,000;1023,329;0,000
03.06.2012 01:30;10298,520;0,000;1023,329;0,000
03.06.2012 01:35;10298,520;0,000;1023,329;0,000
03.06.2012 01:40;10298,520;0,000;1023,329;0,000
03.06.2012 01:45;10298,520;0,000;1023,329;0,000
03.06.2012 01:50;10298,520;0,000;1023,329;0,000
03.06.2012 01:55;10298,520;0,000;1023,329;0,000
03.06.2012 02:00;10298,520;0,000;1023,329;0,000
03.06.2012 02:05;10298,520;0,000;1023,329;0,000
03.06.2012 02:10;10298,520;0,000;1023,329;0,000
03.06.2012 02:15;10298,520;0,000;1023,329;0,000
03.06.2012 02:20;10298,520;0,000;1023,329;0,000
03.06.2012 02:25;10298,520;0,000;1023,329;0,000
03.06.2012 02:30;10298,520;0,000;1023,329;0,000
03.06.2012 02:35;10298,520;0,000;1023,329;0,000
03.06.2012 02:40;10298,520;0,000;1023,329;0,000
03.06.2012 02:45;10298,520;0,000;1023,329;0,000
03.06.2012 02:50;10298,520;0,000;1023,329;0,000
03.06.2012 02:55;10298,520;0,000;1023,329;0,000
03.06.2012 03:00;10298,520;0,000;1023,329;0,000
03.06.2012 03:05;10298,520;0,000;1023,329;0,000
03.06.2012 03:10;10298,520;0,000;1023,329;0,000
03.06.2012 03:15;10298,520;0,000;1023,329;0,000
03.06.2012 03:20;10298,520;0,000;1023,329;0,000
03.06.2012 03:25;10298,520;0,000;1023,329;0,000
03.06.2012 03:30;10298,520;0,000;1023,329;0,000
03.06.2012 03:35;10298,520;0,000;1023,329;0,000
03.06.2012 03:40;10298,520;0,000;1023,329;0,000
03.06.2012 03:45;10298,520;0,000;1023,329;0,000
03.06.2012 03:50;10298,520;0,000;1023,329;0,000
03.06.2012 03:55;10298,520;0,000;1023,329;0,000
03.06.2012 04:00;10298,520;0,000;1023,329;0,000
03.06.2012 04:05;10298,520;0,000;1023,329;0,000
03.06.2012 04:10;10298,520;0,000;1023,329;0,000
03.06.2012 04:15;10298,520;0,000;1023,329;0,000
03.06.2012 04:20;10298,520;0,000;1023,329;0,000
03.06.2012 04:25;10298,520;0,000;1023,329;0,000
03.06.2012 04:30;10298,520;0,000;1023,329;0,000
03.06.2012 04:35;10298,520;0,000;1023,329;0,000
03.06.2012 04:40;10298,520;0,000;1023,329;0,000
03.06.2012 04:45;10298,520;0,000;1023,329;0,000
03.06.2012 04:50;10298,520;0,000;1023,329;0,000
03.06.2012 04:55;10298,520;0,000;1023,329;0,000
03.06.2012 05:00;10298,520;0,000;1023,329;0,000
03.06.2012 05:05;10298,520;0,000;1023,329;0,000
03.06.2012 05:10;10298,520;0,000;1023,329;0,000
03.06.2012 05:15;10298,520;0,000;1023,329;0,000
03.06.2012 05:20;10298,520;0,000;1023,329;0,000
03.06.2012 05:25;10298,520;0,000;1023,329;0,000
03.06.2012 05:30;10298,520;0,000;1023,329;0,000
03.06.2012 05:35;10298,520;0,000;1023,329;0,000
03.06.2012 05:40;10298,520;0,000;1023,329;0,000
03.06.2012 05:45;10298,520;0,000;1023,329;0,000
03.06.2012 05:50;10298,522;0,024;1023,332;0,036
03.06.2012 05:55;10298,526;0,048;1023,335;0,036
03.06.2012 06:00;10298,531;0,060;1023,340;0,060
03.06.2012 06:05;10298,537;0,072;1023,347;0,084
03.06.2012 06:10;10298,546;0,108;1023,355;0,096
03.06.2012 06:15;10298,556;0,120;1023,365;0,120
03.06.2012 06:20;10298,567;0,132;1023,376;0,132
03.06.2012 06:25;10298,579;0,144;1023,387;0,132
03.06.2012 06:30;10298,593;0,168;1023,400;0,156
03.06.2012 06:35;10298,610;0,204;1023,416;0,192
03.06.2012 06:40;10298,629;0,228;1023,433;0,204
03.06.2012 06:45;10298,651;0,264;1023,452;0,228
03.06.2012 06:50;10298,673;0,264;1023,469;0,204
03.06.2012 06:55;10298,696;0,276;1023,488;0,228
03.06.2012 07:00;10298,721;0,300;1023,511;0,276
03.06.2012 07:05;10298,748;0,324;1023,534;0,276
03.06.2012 07:10;10298,775;0,324;1023,559;0,300
03.06.2012 07:15;10298,805;0,360;1023,586;0,324
03.06.2012 07:20;10298,837;0,384;1023,614;0,336
03.06.2012 07:25;10298,873;0,432;1023,644;0,360
03.06.2012 07:30;10298,910;0,444;1023,674;0,360
03.06.2012 07:35;10298,949;0,468;1023,703;0,348
03.06.2012 07:40;10298,987;0,456;1023,731;0,336
03.06.2012 07:45;10299,033;0,552;1023,771;0,480
03.06.2012 07:50;10299,081;0,576;1023,816;0,540
03.06.2012 07:55;10299,127;0,552;1023,856;0,480
03.06.2012 08:00;10299,166;0,468;1023,886;0,360
03.06.2012 08:05;10299,204;0,456;1023,918;0,384
03.06.2012 08:10;10299,243;0,468;1023,956;0,456
03.06.2012 08:15;10299,287;0,528;1023,998;0,504
03.06.2012 08:20;10299,329;0,504;1024,038;0,480
03.06.2012 08:25;10299,377;0,576;1024,076;0,456
03.06.2012 08:30;10299,433;0,672;1024,122;0,552
03.06.2012 08:35;10299,491;0,696;1024,171;0,588
03.06.2012 08:40;10299,550;0,708;1024,220;0,588
03.06.2012 08:45;10299,599;0,588;1024,258;0,456
03.06.2012 08:50;10299,637;0,456;1024,291;0,396
03.06.2012 08:55;10299,657;0,240;1024,308;0,204
03.06.2012 09:00;10299,681;0,288;1024,325;0,204
03.06.2012 09:05;10299,717;0,432;1024,351;0,312
03.06.2012 09:10;10299,745;0,336;1024,370;0,228
03.06.2012 09:15;10299,762;0,204;1024,383;0,156
03.06.2012 09:20;10299,781;0,228;1024,398;0,180
03.06.2012 09:25;10299,803;0,264;1024,419;0,252
03.06.2012 09:30;10299,823;0,240;1024,437;0,216
03.06.2012 09:35;10299,846;0,276;1024,453;0,192
03.06.2012 09:40;10299,882;0,432;1024,481;0,336
03.06.2012 09:45;10299,917;0,420;1024,511;0,360
03.06.2012 09:50;10299,941;0,288;1024,530;0,228
03.06.2012 09:55;10299,959;0,216;1024,544;0,168
03.06.2012 10:00;10299,970;0,132;1024,553;0,108
03.06.2012 10:05;10299,976;0,072;1024,558;0,060
03.06.2012 10:10;10299,989;0,156;1024,568;0,120
03.06.2012 10:15;10300,016;0,324;1024,585;0,204
03.06.2012 10:20;10300,076;0,720;1024,622;0,444
03.06.2012 10:25;10300,128;0,624;1024,661;0,468
03.06.2012 10:30;10300,156;0,336;1024,682;0,252
03.06.2012 10:35;10300,183;0,324;1024,704;0,264
03.06.2012 10:40;10300,203;0,240;1024,720;0,192
03.06.2012 10:45;10300,235;0,384;1024,744;0,288
03.06.2012 10:50;10300,272;0,444;1024,773;0,348
03.06.2012 10:55;10300,317;0,540;1024,808;0,420
03.06.2012 11:00;10300,366;0,588;1024,849;0,492
03.06.2012 11:05;10300,416;0,600;1024,890;0,492
03.06.2012 11:10;10300,460;0,528;1024,925;0,420
03.06.2012 11:15;10300,503;0,516;1024,960;0,420
03.06.2012 11:20;10300,563;0,720;1025,008;0,576
03.06.2012 11:25;10300,607;0,528;1025,043;0,420
03.06.2012 11:30;10300,630;0,276;1025,062;0,228
03.06.2012 11:35;10300,652;0,264;1025,083;0,252
03.06.2012 11:40;10300,695;0,516;1025,118;0,420
03.06.2012 11:45;10300,758;0,756;1025,171;0,636
03.06.2012 11:50;10300,803;0,540;1025,208;0,444
03.06.2012 11:55;10300,847;0,528;1025,242;0,408
03.06.2012 12:00;10300,895;0,576;1025,278;0,432
03.06.2012 12:05;10300,946;0,612;1025,316;0,456
03.06.2012 12:10;10301,001;0,660;1025,362;0,552
03.06.2012 12:15;10301,057;0,672;1025,413;0,612
03.06.2012 12:20;10301,142;1,020;1025,492;0,948
03.06.2012 12:25;10301,295;1,836;1025,627;1,620
03.06.2012 12:30;10301,457;1,944;1025,765;1,656
03.06.2012 12:35;10301,648;2,292;1025,922;1,884
03.06.2012 12:40;10301,767;1,428;1026,025;1,236
03.06.2012 12:45;10301,891;1,488;1026,127;1,224
03.06.2012 12:50;10302,022;1,572;1026,236;1,308
03.06.2012 12:55;10302,140;1,416;1026,337;1,212
03.06.2012 13:00;10302,252;1,344;1026,438;1,212
03.06.2012 13:05;10302,368;1,392;1026,543;1,260
03.06.2012 13:10;10302,466;1,176;1026,632;1,068
