sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100071167;SN: 2100071167;SN: 2130002605;SN: 2130002605
;SB 4000TL-20;SB 4000TL-20;SB 4000TL-21;SB 4000TL-21
;2100071167;2100071167;2130002605;2130002605
;Gesamtertrag;Leistung;Gesamtertrag;Leistung
;Counter;Analog;Counter;Analog
dd.MM.yyyy HH:mm;kWh;kW;kWh;kW
12.06.2012 00:00;10432,576;0,000;1126,349;0,000
12.06.2012 00:05;10432,576;0,000;1126,349;0,000
12.06.2012 00:10;10432,576;0,000;1126,349;0,000
12.06.2012 00:15;10432,576;0,000;1126,349;0,000
12.06.2012 00:20;10432,576;0,000;1126,349;0,000
12.06.2012 00:25;10432,576;0,000;1126,349;0,000
12.06.2012 00:30;10432,576;0,000;1126,349;0,000
12.06.2012 00:35;10432,576;0,000;1126,349;0,000
12.06.2012 00:40;10432,576;0,000;1126,349;0,000
12.06.2012 00:45;10432,576;0,000;1126,349;0,000
12.06.2012 00:50;10432,576;0,000;1126,349;0,000
12.06.2012 00:55;10432,576;0,000;1126,349;0,000
12.06.2012 01:00;10432,576;0,000;1126,349;0,000
12.06.2012 01:05;10432,576;0,000;1126,349;0,000
12.06.2012 01:10;10432,576;0,000;1126,349;0,000
12.06.2012 01:15;10432,576;0,000;1126,349;0,000
12.06.2012 01:20;10432,576;0,000;1126,349;0,000
12.06.2012 01:25;10432,576;0,000;1126,349;0,000
12.06.2012 01:30;10432,576;0,000;1126,349;0,000
12.06.2012 01:35;10432,576;0,000;1126,349;0,000
12.06.2012 01:40;10432,576;0,000;1126,349;0,000
12.06.2012 01:45;10432,576;0,000;1126,349;0,000
12.06.2012 01:50;10432,576;0,000;1126,349;0,000
12.06.2012 01:55;10432,576;0,000;1126,349;0,000
12.06.2012 02:00;10432,576;0,000;1126,349;0,000
12.06.2012 02:05;10432,576;0,000;1126,349;0,000
12.06.2012 02:10;10432,576;0,000;1126,349;0,000
12.06.2012 02:15;10432,576;0,000;1126,349;0,000
12.06.2012 02:20;10432,576;0,000;1126,349;0,000
12.06.2012 02:25;10432,576;0,000;1126,349;0,000
12.06.2012 02:30;10432,576;0,000;1126,349;0,000
12.06.2012 02:35;10432,576;0,000;1126,349;0,000
12.06.2012 02:40;10432,576;0,000;1126,349;0,000
12.06.2012 02:45;10432,576;0,000;1126,349;0,000
12.06.2012 02:50;10432,576;0,000;1126,349;0,000
12.06.2012 02:55;10432,576;0,000;1126,349;0,000
12.06.2012 03:00;10432,576;0,000;1126,349;0,000
12.06.2012 03:05;10432,576;0,000;1126,349;0,000
12.06.2012 03:10;10432,576;0,000;1126,349;0,000
12.06.2012 03:15;10432,576;0,000;1126,349;0,000
12.06.2012 03:20;10432,576;0,000;1126,349;0,000
12.06.2012 03:25;10432,576;0,000;1126,349;0,000
12.06.2012 03:30;10432,576;0,000;1126,349;0,000
12.06.2012 03:35;10432,576;0,000;1126,349;0,000
12.06.2012 03:40;10432,576;0,000;1126,349;0,000
12.06.2012 03:45;10432,576;0,000;1126,349;0,000
12.06.2012 03:50;10432,576;0,000;1126,349;0,000
12.06.2012 03:55;10432,576;0,000;1126,349;0,000
12.06.2012 04:00;10432,576;0,000;1126,349;0,000
12.06.2012 04:05;10432,576;0,000;1126,349;0,000
12.06.2012 04:10;10432,576;0,000;1126,349;0,000
12.06.2012 04:15;10432,576;0,000;1126,349;0,000
12.06.2012 04:20;10432,576;0,000;1126,349;0,000
12.06.2012 04:25;10432,576;0,000;1126,349;0,000
12.06.2012 04:30;10432,576;0,000;1126,349;0,000
12.06.2012 04:35;10432,576;0,000;1126,349;0,000
12.06.2012 04:40;10432,576;0,000;1126,349;0,000
12.06.2012 04:45;10432,576;0,000;1126,349;0,000
12.06.2012 04:50;10432,576;0,000;1126,349;0,000
12.06.2012 04:55;10432,576;0,000;1126,349;0,000
12.06.2012 05:00;10432,576;0,000;1126,349;0,000
12.06.2012 05:05;10432,576;0,000;1126,349;0,000
12.06.2012 05:10;10432,576;0,000;1126,349;0,000
12.06.2012 05:15;10432,576;0,000;1126,349;0,000
12.06.2012 05:20;10432,576;0,000;1126,349;0,000
12.06.2012 05:25;10432,576;0,000;1126,349;0,000
12.06.2012 05:30;10432,576;0,000;1126,349;0,000
12.06.2012 05:35;10432,576;0,000;1126,349;0,000
12.06.2012 05:40;10432,576;0,000;1126,349;0,000
12.06.2012 05:45;10432,577;0,012;1126,349;0,000
12.06.2012 05:50;10432,581;0,048;1126,352;0,036
12.06.2012 05:55;10432,585;0,048;1126,355;0,036
12.06.2012 06:00;10432,588;0,036;1126,359;0,048
12.06.2012 06:05;10432,592;0,048;1126,362;0,036
12.06.2012 06:10;10432,598;0,072;1126,365;0,036
12.06.2012 06:15;10432,606;0,096;1126,372;0,084
12.06.2012 06:20;10432,615;0,108;1126,379;0,084
12.06.2012 06:25;10432,626;0,132;1126,387;0,096
12.06.2012 06:30;10432,637;0,132;1126,396;0,108
12.06.2012 06:35;10432,652;0,180;1126,408;0,144
12.06.2012 06:40;10432,667;0,180;1126,421;0,156
12.06.2012 06:45;10432,682;0,180;1126,434;0,156
12.06.2012 06:50;10432,696;0,168;1126,446;0,144
12.06.2012 06:55;10432,710;0,168;1126,458;0,144
12.06.2012 07:00;10432,724;0,168;1126,470;0,144
12.06.2012 07:05;10432,741;0,204;1126,484;0,168
12.06.2012 07:10;10432,759;0,216;1126,500;0,192
12.06.2012 07:15;10432,779;0,240;1126,516;0,192
12.06.2012 07:20;10432,802;0,276;1126,534;0,216
12.06.2012 07:25;10432,828;0,312;1126,555;0,252
12.06.2012 07:30;10432,858;0,360;1126,578;0,276
12.06.2012 07:35;10432,891;0,396;1126,605;0,324
12.06.2012 07:40;10432,927;0,432;1126,637;0,384
12.06.2012 07:45;10432,962;0,420;1126,670;0,396
12.06.2012 07:50;10432,995;0,396;1126,704;0,408
12.06.2012 07:55;10433,030;0,420;1126,737;0,396
12.06.2012 08:00;10433,067;0,444;1126,772;0,420
12.06.2012 08:05;10433,102;0,420;1126,808;0,432
12.06.2012 08:10;10433,135;0,396;1126,842;0,408
12.06.2012 08:15;10433,168;0,396;1126,873;0,372
12.06.2012 08:20;10433,205;0,444;1126,906;0,396
12.06.2012 08:25;10433,247;0,504;1126,941;0,420
12.06.2012 08:30;10433,300;0,636;1126,984;0,516
12.06.2012 08:35;10433,362;0,744;1127,038;0,648
12.06.2012 08:40;10433,424;0,744;1127,095;0,684
12.06.2012 08:45;10433,485;0,732;1127,152;0,684
12.06.2012 08:50;10433,549;0,768;1127,211;0,708
12.06.2012 08:55;10433,613;0,768;1127,272;0,732
12.06.2012 09:00;10433,679;0,792;1127,334;0,744
12.06.2012 09:05;10433,749;0,840;1127,400;0,792
12.06.2012 09:10;10433,822;0,876;1127,467;0,804
12.06.2012 09:15;10433,894;0,864;1127,533;0,792
12.06.2012 09:20;10433,970;0,912;1127,599;0,792
12.06.2012 09:25;10434,050;0,960;1127,666;0,804
12.06.2012 09:30;10434,138;1,056;1127,736;0,840
12.06.2012 09:35;10434,257;1,428;1127,817;0,972
12.06.2012 09:40;10434,395;1,656;1127,907;1,080
12.06.2012 09:45;10434,520;1,500;1128,000;1,116
12.06.2012 09:50;10434,641;1,452;1128,101;1,212
12.06.2012 09:55;10434,755;1,368;1128,202;1,212
12.06.2012 10:00;10434,863;1,296;1128,299;1,164
12.06.2012 10:05;10434,967;1,248;1128,394;1,140
12.06.2012 10:10;10435,077;1,320;1128,491;1,164
12.06.2012 10:15;10435,183;1,272;1128,587;1,152
12.06.2012 10:20;10435,272;1,068;1128,672;1,020
12.06.2012 10:25;10435,346;0,888;1128,742;0,840
12.06.2012 10:30;10435,422;0,912;1128,809;0,804
12.06.2012 10:35;10435,511;1,068;1128,884;0,900
12.06.2012 10:40;10435,608;1,164;1128,967;0,996
12.06.2012 10:45;10435,710;1,224;1129,056;1,068
12.06.2012 10:50;10435,816;1,272;1129,150;1,128
12.06.2012 10:55;10435,923;1,284;1129,248;1,176
12.06.2012 11:00;10436,033;1,320;1129,349;1,212
12.06.2012 11:05;10436,148;1,380;1129,453;1,248
12.06.2012 11:10;10436,255;1,284;1129,551;1,176
12.06.2012 11:15;10436,358;1,236;1129,648;1,164
12.06.2012 11:20;10436,443;1,020;1129,731;0,996
12.06.2012 11:25;10436,512;0,828;1129,797;0,792
12.06.2012 11:30;10436,583;0,852;1129,859;0,744
12.06.2012 11:35;10436,662;0,948;1129,926;0,804
12.06.2012 11:40;10436,752;1,080;1130,000;0,888
12.06.2012 11:45;10436,852;1,200;1130,083;0,996
12.06.2012 11:50;10436,964;1,344;1130,180;1,164
12.06.2012 11:55;10437,062;1,176;1130,273;1,116
12.06.2012 12:00;10437,136;0,888;1130,346;0,876
12.06.2012 12:05;10437,196;0,720;1130,403;0,684
12.06.2012 12:10;10437,263;0,804;1130,463;0,720
12.06.2012 12:15;10437,348;1,020;1130,532;0,828
12.06.2012 12:20;10437,452;1,248;1130,614;0,984
12.06.2012 12:25;10437,565;1,356;1130,707;1,116
12.06.2012 12:30;10437,673;1,296;1130,800;1,116
12.06.2012 12:35;10437,776;1,236;1130,892;1,104
12.06.2012 12:40;10437,887;1,332;1130,995;1,236
12.06.2012 12:45;10437,997;1,320;1131,102;1,284
12.06.2012 12:50;10438,119;1,464;1131,214;1,344
12.06.2012 12:55;10438,228;1,308;1131,309;1,140
12.06.2012 13:00;10438,315;1,044;1131,380;0,852
12.06.2012 13:05;10438,384;0,828;1131,435;0,660
12.06.2012 13:10;10438,438;0,648;1131,475;0,480
