sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100071167;SN: 2100071167;SN: 2130002605;SN: 2130002605
;SB 4000TL-20;SB 4000TL-20;SB 4000TL-21;SB 4000TL-21
;2100071167;2100071167;2130002605;2130002605
;Gesamtertrag;Leistung;Gesamtertrag;Leistung
;Counter;Analog;Counter;Analog
dd.MM.yyyy HH:mm;kWh;kW;kWh;kW
10.04.2012 00:00;9318,975;0,000;377,429;0,000
10.04.2012 00:05;9318,975;0,000;377,429;0,000
10.04.2012 00:10;9318,975;0,000;377,429;0,000
10.04.2012 00:15;9318,975;0,000;377,429;0,000
10.04.2012 00:20;9318,975;0,000;377,429;0,000
10.04.2012 00:25;9318,975;0,000;377,429;0,000
10.04.2012 00:30;9318,975;0,000;377,429;0,000
10.04.2012 00:35;9318,975;0,000;377,429;0,000
10.04.2012 00:40;9318,975;0,000;377,429;0,000
10.04.2012 00:45;9318,975;0,000;377,429;0,000
10.04.2012 00:50;9318,975;0,000;377,429;0,000
10.04.2012 00:55;9318,975;0,000;377,429;0,000
10.04.2012 01:00;9318,975;0,000;377,429;0,000
10.04.2012 01:05;9318,975;0,000;377,429;0,000
10.04.2012 01:10;9318,975;0,000;377,429;0,000
10.04.2012 01:15;9318,975;0,000;377,429;0,000
10.04.2012 01:20;9318,975;0,000;377,429;0,000
10.04.2012 01:25;9318,975;0,000;377,429;0,000
10.04.2012 01:30;9318,975;0,000;377,429;0,000
10.04.2012 01:35;9318,975;0,000;377,429;0,000
10.04.2012 01:40;9318,975;0,000;377,429;0,000
10.04.2012 01:45;9318,975;0,000;377,429;0,000
10.04.2012 01:50;9318,975;0,000;377,429;0,000
10.04.2012 01:55;9318,975;0,000;377,429;0,000
10.04.2012 02:00;9318,975;0,000;377,429;0,000
10.04.2012 02:05;9318,975;0,000;377,429;0,000
10.04.2012 02:10;9318,975;0,000;377,429;0,000
10.04.2012 02:15;9318,975;0,000;377,429;0,000
10.04.2012 02:20;9318,975;0,000;377,429;0,000
10.04.2012 02:25;9318,975;0,000;377,429;0,000
10.04.2012 02:30;9318,975;0,000;377,429;0,000
10.04.2012 02:35;9318,975;0,000;377,429;0,000
10.04.2012 02:40;9318,975;0,000;377,429;0,000
10.04.2012 02:45;9318,975;0,000;377,429;0,000
10.04.2012 02:50;9318,975;0,000;377,429;0,000
10.04.2012 02:55;9318,975;0,000;377,429;0,000
10.04.2012 03:00;9318,975;0,000;377,429;0,000
10.04.2012 03:05;9318,975;0,000;377,429;0,000
10.04.2012 03:10;9318,975;0,000;377,429;0,000
10.04.2012 03:15;9318,975;0,000;377,429;0,000
10.04.2012 03:20;9318,975;0,000;377,429;0,000
10.04.2012 03:25;9318,975;0,000;377,429;0,000
10.04.2012 03:30;9318,975;0,000;377,429;0,000
10.04.2012 03:35;9318,975;0,000;377,429;0,000
10.04.2012 03:40;9318,975;0,000;377,429;0,000
10.04.2012 03:45;9318,975;0,000;377,429;0,000
10.04.2012 03:50;9318,975;0,000;377,429;0,000
10.04.2012 03:55;9318,975;0,000;377,429;0,000
10.04.2012 04:00;9318,975;0,000;377,429;0,000
10.04.2012 04:05;9318,975;0,000;377,429;0,000
10.04.2012 04:10;9318,975;0,000;377,429;0,000
10.04.2012 04:15;9318,975;0,000;377,429;0,000
10.04.2012 04:20;9318,975;0,000;377,429;0,000
10.04.2012 04:25;9318,975;0,000;377,429;0,000
10.04.2012 04:30;9318,975;0,000;377,429;0,000
10.04.2012 04:35;9318,975;0,000;377,429;0,000
10.04.2012 04:40;9318,975;0,000;377,429;0,000
10.04.2012 04:45;9318,975;0,000;377,429;0,000
10.04.2012 04:50;9318,975;0,000;377,429;0,000
10.04.2012 04:55;9318,975;0,000;377,429;0,000
10.04.2012 05:00;9318,975;0,000;377,429;0,000
10.04.2012 05:05;9318,975;0,000;377,429;0,000
10.04.2012 05:10;9318,975;0,000;377,429;0,000
10.04.2012 05:15;9318,975;0,000;377,429;0,000
10.04.2012 05:20;9318,975;0,000;377,429;0,000
10.04.2012 05:25;9318,975;0,000;377,429;0,000
10.04.2012 05:30;9318,975;0,000;377,429;0,000
10.04.2012 05:35;9318,975;0,000;377,429;0,000
10.04.2012 05:40;9318,975;0,000;377,429;0,000
10.04.2012 05:45;9318,975;0,000;377,429;0,000
10.04.2012 05:50;9318,975;0,000;377,429;0,000
10.04.2012 05:55;9318,975;0,000;377,429;0,000
10.04.2012 06:00;9318,975;0,000;377,429;0,000
10.04.2012 06:05;9318,975;0,000;377,429;0,000
10.04.2012 06:10;9318,975;0,000;377,429;0,000
10.04.2012 06:15;9318,975;0,000;377,429;0,000
10.04.2012 06:20;9318,975;0,000;377,429;0,000
10.04.2012 06:25;9318,975;0,000;377,429;0,000
10.04.2012 06:30;9318,975;0,000;377,429;0,000
10.04.2012 06:35;9318,975;0,000;377,429;0,000
10.04.2012 06:40;9318,975;0,000;377,429;0,000
10.04.2012 06:45;9318,975;0,000;377,429;0,000
10.04.2012 06:50;9318,975;0,000;377,429;0,000
10.04.2012 06:55;9318,975;0,000;377,429;0,000
10.04.2012 07:00;9318,975;0,000;377,429;0,000
10.04.2012 07:05;9318,975;0,000;377,429;0,000
10.04.2012 07:10;9318,976;0,012;377,429;0,000
10.04.2012 07:15;9318,978;0,024;377,429;0,000
10.04.2012 07:20;9318,980;0,024;377,431;0,024
10.04.2012 07:25;9318,983;0,036;377,433;0,024
10.04.2012 07:30;9318,986;0,036;377,436;0,036
10.04.2012 07:35;9318,991;0,060;377,441;0,060
10.04.2012 07:40;9318,998;0,084;377,450;0,108
10.04.2012 07:45;9319,011;0,156;377,463;0,156
10.04.2012 07:50;9319,027;0,192;377,478;0,180
10.04.2012 07:55;9319,046;0,228;377,495;0,204
10.04.2012 08:00;9319,066;0,240;377,511;0,192
10.04.2012 08:05;9319,086;0,240;377,530;0,228
10.04.2012 08:10;9319,108;0,264;377,551;0,252
10.04.2012 08:15;9319,134;0,312;377,579;0,336
10.04.2012 08:20;9319,169;0,420;377,618;0,468
10.04.2012 08:25;9319,215;0,552;377,663;0,540
10.04.2012 08:30;9319,264;0,588;377,704;0,492
10.04.2012 08:35;9319,310;0,552;377,743;0,468
10.04.2012 08:40;9319,352;0,504;377,777;0,408
10.04.2012 08:45;9319,389;0,444;377,809;0,384
10.04.2012 08:50;9319,424;0,420;377,844;0,420
10.04.2012 08:55;9319,461;0,444;377,880;0,432
10.04.2012 09:00;9319,501;0,480;377,921;0,492
10.04.2012 09:05;9319,550;0,588;377,963;0,504
10.04.2012 09:10;9319,602;0,624;378,027;0,768
10.04.2012 09:15;9319,701;1,188;378,110;0,996
10.04.2012 09:20;9319,851;1,800;378,195;1,020
10.04.2012 09:25;9319,988;1,644;378,265;0,840
10.04.2012 09:30;9320,074;1,032;378,325;0,720
10.04.2012 09:35;9320,146;0,864;378,389;0,768
10.04.2012 09:40;9320,221;0,900;378,456;0,804
10.04.2012 09:45;9320,301;0,960;378,518;0,744
10.04.2012 09:50;9320,375;0,888;378,572;0,648
10.04.2012 09:55;9320,446;0,852;378,645;0,876
10.04.2012 10:00;9320,559;1,356;378,719;0,888
10.04.2012 10:05;9320,669;1,320;378,794;0,900
10.04.2012 10:10;9320,769;1,200;378,886;1,104
10.04.2012 10:15;9320,890;1,452;378,988;1,224
10.04.2012 10:20;9321,020;1,560;379,062;0,888
10.04.2012 10:25;9321,104;1,008;379,132;0,840
10.04.2012 10:30;9321,184;0,960;379,200;0,816
10.04.2012 10:35;9321,257;0,876;379,280;0,960
10.04.2012 10:40;9321,336;0,948;379,340;0,720
10.04.2012 10:45;9321,403;0,804;379,453;1,356
10.04.2012 10:50;9321,537;1,608;379,574;1,452
10.04.2012 10:55;9321,680;1,716;379,698;1,488
10.04.2012 11:00;9321,821;1,692;379,826;1,536
10.04.2012 11:05;9321,963;1,704;379,919;1,116
10.04.2012 11:10;9322,064;1,212;380,050;1,572
10.04.2012 11:15;9322,199;1,620;380,178;1,536
10.04.2012 11:20;9322,310;1,332;380,307;1,548
10.04.2012 11:25;9322,425;1,380;380,442;1,620
10.04.2012 11:30;9322,547;1,464;380,563;1,452
10.04.2012 11:35;9322,661;1,368;380,676;1,356
10.04.2012 11:40;9322,767;1,272;380,783;1,284
10.04.2012 11:45;9322,872;1,260;380,902;1,428
10.04.2012 11:50;9322,991;1,428;381,015;1,356
10.04.2012 11:55;9323,101;1,320;381,116;1,212
10.04.2012 12:00;9323,214;1,356;381,219;1,236
10.04.2012 12:05;9323,329;1,380;381,330;1,332
10.04.2012 12:10;9323,450;1,452;381,444;1,368
10.04.2012 12:15;9323,575;1,500;381,551;1,284
10.04.2012 12:20;9323,694;1,428;381,659;1,296
10.04.2012 12:25;9323,816;1,464;381,779;1,440
10.04.2012 12:30;9323,946;1,560;381,887;1,296
10.04.2012 12:35;9324,065;1,428;382,003;1,392
10.04.2012 12:40;9324,183;1,416;382,129;1,512
10.04.2012 12:45;9324,326;1,716;382,245;1,392
10.04.2012 12:50;9324,476;1,800;382,382;1,644
10.04.2012 12:55;9324,686;2,520;382,515;1,596
10.04.2012 13:00;9324,907;2,652;382,645;1,560
10.04.2012 13:05;9325,140;2,796;382,767;1,464
10.04.2012 13:10;9325,370;2,760;382,888;1,452
10.04.2012 13:15;9325,606;2,832;382,987;1,188
10.04.2012 13:20;9325,796;2,280;383,117;1,560
10.04.2012 13:25;9326,047;3,012;383,250;1,596
10.04.2012 13:30;9326,342;3,540;383,379;1,548
10.04.2012 13:35;9326,641;3,588;383,504;1,500
10.04.2012 13:40;9326,943;3,624;383,624;1,440
