sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100071167;SN: 2100071167;SN: 2130002605;SN: 2130002605
;SB 4000TL-20;SB 4000TL-20;SB 4000TL-21;SB 4000TL-21
;2100071167;2100071167;2130002605;2130002605
;Gesamtertrag;Leistung;Gesamtertrag;Leistung
;Counter;Analog;Counter;Analog
dd.MM.yyyy HH:mm;kWh;kW;kWh;kW
18.03.2012 00:00;9004,709;0,000;215,866;0,000
18.03.2012 00:05;9004,709;0,000;215,866;0,000
18.03.2012 00:10;9004,709;0,000;215,866;0,000
18.03.2012 00:15;9004,709;0,000;215,866;0,000
18.03.2012 00:20;9004,709;0,000;215,866;0,000
18.03.2012 00:25;9004,709;0,000;215,866;0,000
18.03.2012 00:30;9004,709;0,000;215,866;0,000
18.03.2012 00:35;9004,709;0,000;215,866;0,000
18.03.2012 00:40;9004,709;0,000;215,866;0,000
18.03.2012 00:45;9004,709;0,000;215,866;0,000
18.03.2012 00:50;9004,709;0,000;215,866;0,000
18.03.2012 00:55;9004,709;0,000;215,866;0,000
18.03.2012 01:00;9004,709;0,000;215,866;0,000
18.03.2012 01:05;9004,709;0,000;215,866;0,000
18.03.2012 01:10;9004,709;0,000;215,866;0,000
18.03.2012 01:15;9004,709;0,000;215,866;0,000
18.03.2012 01:20;9004,709;0,000;215,866;0,000
18.03.2012 01:25;9004,709;0,000;215,866;0,000
18.03.2012 01:30;9004,709;0,000;215,866;0,000
18.03.2012 01:35;9004,709;0,000;215,866;0,000
18.03.2012 01:40;9004,709;0,000;215,866;0,000
18.03.2012 01:45;9004,709;0,000;215,866;0,000
18.03.2012 01:50;9004,709;0,000;215,866;0,000
18.03.2012 01:55;9004,709;0,000;215,866;0,000
18.03.2012 02:00;9004,709;0,000;215,866;0,000
18.03.2012 02:05;9004,709;0,000;215,866;0,000
18.03.2012 02:10;9004,709;0,000;215,866;0,000
18.03.2012 02:15;9004,709;0,000;215,866;0,000
18.03.2012 02:20;9004,709;0,000;215,866;0,000
18.03.2012 02:25;9004,709;0,000;215,866;0,000
18.03.2012 02:30;9004,709;0,000;215,866;0,000
18.03.2012 02:35;9004,709;0,000;215,866;0,000
18.03.2012 02:40;9004,709;0,000;215,866;0,000
18.03.2012 02:45;9004,709;0,000;215,866;0,000
18.03.2012 02:50;9004,709;0,000;215,866;0,000
18.03.2012 02:55;9004,709;0,000;215,866;0,000
18.03.2012 03:00;9004,709;0,000;215,866;0,000
18.03.2012 03:05;9004,709;0,000;215,866;0,000
18.03.2012 03:10;9004,709;0,000;215,866;0,000
18.03.2012 03:15;9004,709;0,000;215,866;0,000
18.03.2012 03:20;9004,709;0,000;215,866;0,000
18.03.2012 03:25;9004,709;0,000;215,866;0,000
18.03.2012 03:30;9004,709;0,000;215,866;0,000
18.03.2012 03:35;9004,709;0,000;215,866;0,000
18.03.2012 03:40;9004,709;0,000;215,866;0,000
18.03.2012 03:45;9004,709;0,000;215,866;0,000
18.03.2012 03:50;9004,709;0,000;215,866;0,000
18.03.2012 03:55;9004,709;0,000;215,866;0,000
18.03.2012 04:00;9004,709;0,000;215,866;0,000
18.03.2012 04:05;9004,709;0,000;215,866;0,000
18.03.2012 04:10;9004,709;0,000;215,866;0,000
18.03.2012 04:15;9004,709;0,000;215,866;0,000
18.03.2012 04:20;9004,709;0,000;215,866;0,000
18.03.2012 04:25;9004,709;0,000;215,866;0,000
18.03.2012 04:30;9004,709;0,000;215,866;0,000
18.03.2012 04:35;9004,709;0,000;215,866;0,000
18.03.2012 04:40;9004,709;0,000;215,866;0,000
18.03.2012 04:45;9004,709;0,000;215,866;0,000
18.03.2012 04:50;9004,709;0,000;215,866;0,000
18.03.2012 04:55;9004,709;0,000;215,866;0,000
18.03.2012 05:00;9004,709;0,000;215,866;0,000
18.03.2012 05:05;9004,709;0,000;215,866;0,000
18.03.2012 05:10;9004,709;0,000;215,866;0,000
18.03.2012 05:15;9004,709;0,000;215,866;0,000
18.03.2012 05:20;9004,709;0,000;215,866;0,000
18.03.2012 05:25;9004,709;0,000;215,866;0,000
18.03.2012 05:30;9004,709;0,000;215,866;0,000
18.03.2012 05:35;9004,709;0,000;215,866;0,000
18.03.2012 05:40;9004,709;0,000;215,866;0,000
18.03.2012 05:45;9004,709;0,000;215,866;0,000
18.03.2012 05:50;9004,709;0,000;215,866;0,000
18.03.2012 05:55;9004,709;0,000;215,866;0,000
18.03.2012 06:00;9004,709;0,000;215,866;0,000
18.03.2012 06:05;9004,709;0,000;215,866;0,000
18.03.2012 06:10;9004,709;0,000;215,866;0,000
18.03.2012 06:15;9004,709;0,000;215,866;0,000
18.03.2012 06:20;9004,709;0,000;215,866;0,000
18.03.2012 06:25;9004,709;0,000;215,866;0,000
18.03.2012 06:30;9004,709;0,000;215,866;0,000
18.03.2012 06:35;9004,709;0,000;215,866;0,000
18.03.2012 06:40;9004,709;0,000;215,866;0,000
18.03.2012 06:45;9004,709;0,000;215,866;0,000
18.03.2012 06:50;9004,709;0,000;215,866;0,000
18.03.2012 06:55;9004,709;0,000;215,866;0,000
18.03.2012 07:00;9004,709;0,000;215,866;0,000
18.03.2012 07:05;9004,709;0,000;215,866;0,000
18.03.2012 07:10;9004,709;0,000;215,866;0,000
18.03.2012 07:15;9004,709;0,000;215,866;0,000
18.03.2012 07:20;9004,709;0,000;215,866;0,000
18.03.2012 07:25;9004,709;0,000;215,866;0,000
18.03.2012 07:30;9004,709;0,000;215,866;0,000
18.03.2012 07:35;9004,709;0,000;215,866;0,000
18.03.2012 07:40;9004,709;0,000;215,866;0,000
18.03.2012 07:45;9004,709;0,000;215,866;0,000
18.03.2012 07:50;9004,712;0,036;215,870;0,048
18.03.2012 07:55;9004,715;0,036;215,874;0,048
18.03.2012 08:00;9004,720;0,060;215,880;0,072
18.03.2012 08:05;9004,725;0,060;215,888;0,096
18.03.2012 08:10;9004,731;0,072;215,897;0,108
18.03.2012 08:15;9004,738;0,084;215,908;0,132
18.03.2012 08:20;9004,746;0,096;215,919;0,132
18.03.2012 08:25;9004,756;0,120;215,933;0,168
18.03.2012 08:30;9004,767;0,132;215,948;0,180
18.03.2012 08:35;9004,778;0,132;215,965;0,204
18.03.2012 08:40;9004,791;0,156;215,982;0,204
18.03.2012 08:45;9004,804;0,156;216,001;0,228
18.03.2012 08:50;9004,819;0,180;216,020;0,228
18.03.2012 08:55;9004,835;0,192;216,039;0,228
18.03.2012 09:00;9004,855;0,240;216,059;0,240
18.03.2012 09:05;9004,878;0,276;216,078;0,228
18.03.2012 09:10;9004,909;0,372;216,097;0,228
18.03.2012 09:15;9004,947;0,456;216,118;0,252
18.03.2012 09:20;9004,987;0,480;216,139;0,252
18.03.2012 09:25;9005,028;0,492;216,161;0,264
18.03.2012 09:30;9005,070;0,504;216,183;0,264
18.03.2012 09:35;9005,111;0,492;216,204;0,252
18.03.2012 09:40;9005,156;0,540;216,227;0,276
18.03.2012 09:45;9005,201;0,540;216,250;0,276
18.03.2012 09:50;9005,248;0,564;216,281;0,372
18.03.2012 09:55;9005,296;0,576;216,317;0,432
18.03.2012 10:00;9005,346;0,600;216,358;0,492
18.03.2012 10:05;9005,394;0,576;216,399;0,492
18.03.2012 10:10;9005,443;0,588;216,447;0,576
18.03.2012 10:15;9005,484;0,492;216,494;0,564
18.03.2012 10:20;9005,519;0,420;216,547;0,636
18.03.2012 10:25;9005,542;0,276;216,601;0,648
18.03.2012 10:30;9005,562;0,240;216,654;0,636
18.03.2012 10:35;9005,584;0,264;216,709;0,660
18.03.2012 10:40;9005,607;0,276;216,766;0,684
18.03.2012 10:45;9005,629;0,264;216,824;0,696
18.03.2012 10:50;9005,651;0,264;216,883;0,708
18.03.2012 10:55;9005,673;0,264;216,939;0,672
18.03.2012 11:00;9005,696;0,276;216,995;0,672
18.03.2012 11:05;9005,718;0,264;217,053;0,696
18.03.2012 11:10;9005,741;0,276;217,114;0,732
18.03.2012 11:15;9005,763;0,264;217,176;0,744
18.03.2012 11:20;9005,786;0,276;217,234;0,696
18.03.2012 11:25;9005,810;0,288;217,292;0,696
18.03.2012 11:30;9005,834;0,288;217,350;0,696
18.03.2012 11:35;9005,858;0,288;217,413;0,756
18.03.2012 11:40;9005,882;0,288;217,478;0,780
18.03.2012 11:45;9005,906;0,288;217,543;0,780
18.03.2012 11:50;9005,930;0,288;217,609;0,792
18.03.2012 11:55;9005,954;0,288;217,674;0,780
18.03.2012 12:00;9005,979;0,300;217,738;0,768
18.03.2012 12:05;9006,004;0,300;217,803;0,780
18.03.2012 12:10;9006,030;0,312;217,865;0,744
18.03.2012 12:15;9006,056;0,312;217,927;0,744
18.03.2012 12:20;9006,082;0,312;217,986;0,708
18.03.2012 12:25;9006,109;0,324;218,044;0,696
18.03.2012 12:30;9006,141;0,384;218,105;0,732
18.03.2012 12:35;9006,183;0,504;218,168;0,756
18.03.2012 12:40;9006,226;0,516;218,233;0,780
18.03.2012 12:45;9006,274;0,576;218,301;0,816
18.03.2012 12:50;9006,342;0,816;218,373;0,864
18.03.2012 12:55;9006,428;1,032;218,448;0,900
18.03.2012 13:00;9006,530;1,224;218,524;0,912
18.03.2012 13:05;9006,646;1,392;218,599;0,900
18.03.2012 13:10;9006,804;1,896;218,674;0,900
18.03.2012 13:15;9006,986;2,184;218,748;0,888
18.03.2012 13:20;9007,193;2,484;218,822;0,888
18.03.2012 13:25;9007,409;2,592;218,895;0,876
18.03.2012 13:30;9007,623;2,568;218,968;0,876
18.03.2012 13:35;9007,841;2,616;219,040;0,864
18.03.2012 13:40;9008,074;2,796;219,112;0,864
