sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100530599;SN: 2100530599
;SB 5000TL-20;SB 5000TL-20
;2100530599;2100530599
;Gesamtertrag;Leistung
;Counter;Analog
dd.MM.yyyy HH:mm;kWh;kW
31.03.2012 00:00;1206,014;0,000
31.03.2012 00:05;1206,014;0,000
31.03.2012 00:10;1206,014;0,000
31.03.2012 00:15;1206,014;0,000
31.03.2012 00:20;1206,014;0,000
31.03.2012 00:25;1206,014;0,000
31.03.2012 00:30;1206,014;0,000
31.03.2012 00:35;1206,014;0,000
31.03.2012 00:40;1206,014;0,000
31.03.2012 00:45;1206,014;0,000
31.03.2012 00:50;1206,014;0,000
31.03.2012 00:55;1206,014;0,000
31.03.2012 01:00;1206,014;0,000
31.03.2012 01:05;1206,014;0,000
31.03.2012 01:10;1206,014;0,000
31.03.2012 01:15;1206,014;0,000
31.03.2012 01:20;1206,014;0,000
31.03.2012 01:25;1206,014;0,000
31.03.2012 01:30;1206,014;0,000
31.03.2012 01:35;1206,014;0,000
31.03.2012 01:40;1206,014;0,000
31.03.2012 01:45;1206,014;0,000
31.03.2012 01:50;1206,014;0,000
31.03.2012 01:55;1206,014;0,000
31.03.2012 02:00;1206,014;0,000
31.03.2012 02:05;1206,014;0,000
31.03.2012 02:10;1206,014;0,000
31.03.2012 02:15;1206,014;0,000
31.03.2012 02:20;1206,014;0,000
31.03.2012 02:25;1206,014;0,000
31.03.2012 02:30;1206,014;0,000
31.03.2012 02:35;1206,014;0,000
31.03.2012 02:40;1206,014;0,000
31.03.2012 02:45;1206,014;0,000
31.03.2012 02:50;1206,014;0,000
31.03.2012 02:55;1206,014;0,000
31.03.2012 03:00;1206,014;0,000
31.03.2012 03:05;1206,014;0,000
31.03.2012 03:10;1206,014;0,000
31.03.2012 03:15;1206,014;0,000
31.03.2012 03:20;1206,014;0,000
31.03.2012 03:25;1206,014;0,000
31.03.2012 03:30;1206,014;0,000
31.03.2012 03:35;1206,014;0,000
31.03.2012 03:40;1206,014;0,000
31.03.2012 03:45;1206,014;0,000
31.03.2012 03:50;1206,014;0,000
31.03.2012 03:55;1206,014;0,000
31.03.2012 04:00;1206,014;0,000
31.03.2012 04:05;1206,014;0,000
31.03.2012 04:10;1206,014;0,000
31.03.2012 04:15;1206,014;0,000
31.03.2012 04:20;1206,014;0,000
31.03.2012 04:25;1206,014;0,000
31.03.2012 04:30;1206,014;0,000
31.03.2012 04:35;1206,014;0,000
31.03.2012 04:40;1206,014;0,000
31.03.2012 04:45;1206,014;0,000
31.03.2012 04:50;1206,014;0,000
31.03.2012 04:55;1206,014;0,000
31.03.2012 05:00;1206,014;0,000
31.03.2012 05:05;1206,014;0,000
31.03.2012 05:10;1206,014;0,000
31.03.2012 05:15;1206,014;0,000
31.03.2012 05:20;1206,014;0,000
31.03.2012 05:25;1206,014;0,000
31.03.2012 05:30;1206,014;0,000
31.03.2012 05:35;1206,014;0,000
31.03.2012 05:40;1206,014;0,000
31.03.2012 05:45;1206,014;0,000
31.03.2012 05:50;1206,014;0,000
31.03.2012 05:55;1206,014;0,000
31.03.2012 06:00;1206,014;0,000
31.03.2012 06:05;1206,014;0,000
31.03.2012 06:10;1206,014;0,000
31.03.2012 06:15;1206,014;0,000
31.03.2012 06:20;1206,014;0,000
31.03.2012 06:25;1206,014;0,000
31.03.2012 06:30;1206,014;0,000
31.03.2012 06:35;1206,014;0,000
31.03.2012 06:40;1206,014;0,000
31.03.2012 06:45;1206,014;0,000
31.03.2012 06:50;1206,014;0,000
31.03.2012 06:55;1206,014;0,000
31.03.2012 07:00;1206,014;0,000
31.03.2012 07:05;1206,014;0,000
31.03.2012 07:10;1206,014;0,000
31.03.2012 07:15;1206,014;0,000
31.03.2012 07:20;1206,014;0,000
31.03.2012 07:25;1206,014;0,000
31.03.2012 07:30;1206,016;0,024
31.03.2012 07:35;1206,020;0,048
31.03.2012 07:40;1206,024;0,048
31.03.2012 07:45;1206,027;0,036
31.03.2012 07:50;1206,032;0,060
31.03.2012 07:55;1206,038;0,072
31.03.2012 08:00;1206,046;0,096
31.03.2012 08:05;1206,054;0,096
31.03.2012 08:10;1206,061;0,084
31.03.2012 08:15;1206,066;0,060
31.03.2012 08:20;1206,073;0,084
31.03.2012 08:25;1206,079;0,072
31.03.2012 08:30;1206,085;0,072
31.03.2012 08:35;1206,092;0,084
31.03.2012 08:40;1206,101;0,108
31.03.2012 08:45;1206,109;0,096
31.03.2012 08:50;1206,118;0,108
31.03.2012 08:55;1206,129;0,132
31.03.2012 09:00;1206,141;0,144
31.03.2012 09:05;1206,157;0,192
31.03.2012 09:10;1206,176;0,228
31.03.2012 09:15;1206,197;0,252
31.03.2012 09:20;1206,219;0,264
31.03.2012 09:25;1206,239;0,240
31.03.2012 09:30;1206,256;0,204
31.03.2012 09:35;1206,274;0,216
31.03.2012 09:40;1206,295;0,252
31.03.2012 09:45;1206,316;0,252
31.03.2012 09:50;1206,335;0,228
31.03.2012 09:55;1206,353;0,216
31.03.2012 10:00;1206,370;0,204
31.03.2012 10:05;1206,394;0,288
31.03.2012 10:10;1206,417;0,276
31.03.2012 10:15;1206,444;0,324
31.03.2012 10:20;1206,479;0,420
31.03.2012 10:25;1206,507;0,336
31.03.2012 10:30;1206,536;0,348
31.03.2012 10:35;1206,565;0,348
31.03.2012 10:40;1206,599;0,408
31.03.2012 10:45;1206,626;0,324
31.03.2012 10:50;1206,657;0,372
31.03.2012 10:55;1206,691;0,408
31.03.2012 11:00;1206,730;0,468
31.03.2012 11:05;1206,770;0,480
31.03.2012 11:10;1206,814;0,528
31.03.2012 11:15;1206,868;0,648
31.03.2012 11:20;1206,948;0,960
31.03.2012 11:25;1207,126;2,136
31.03.2012 11:30;1207,286;1,920
31.03.2012 11:35;1207,410;1,488
31.03.2012 11:40;1207,653;2,916
31.03.2012 11:45;1207,923;3,240
31.03.2012 11:50;1208,237;3,768
31.03.2012 11:55;1208,565;3,936
31.03.2012 12:00;1208,929;4,368
31.03.2012 12:05;1209,144;2,580
31.03.2012 12:10;1209,388;2,928
31.03.2012 12:15;1209,513;1,500
31.03.2012 12:20;1209,628;1,380
31.03.2012 12:25;1209,948;3,840
31.03.2012 12:30;1210,290;4,104
31.03.2012 12:35;1210,629;4,068
31.03.2012 12:40;1210,948;3,828
31.03.2012 12:45;1211,338;4,680
31.03.2012 12:50;1211,725;4,644
31.03.2012 12:55;1212,115;4,680
31.03.2012 13:00;1212,462;4,164
31.03.2012 13:05;1212,834;4,464
31.03.2012 13:10;1213,046;2,544
31.03.2012 13:15;1213,309;3,156
31.03.2012 13:20;1213,689;4,560
31.03.2012 13:25;1214,031;4,104
31.03.2012 13:30;1214,353;3,864
31.03.2012 13:35;1214,750;4,764
31.03.2012 13:40;1214,981;2,772
31.03.2012 13:45;1215,174;2,316
31.03.2012 13:50;1215,380;2,472
31.03.2012 13:55;1215,741;4,332
31.03.2012 14:00;1216,087;4,152
31.03.2012 14:05;1216,382;3,540
31.03.2012 14:10;1216,765;4,596
31.03.2012 14:15;1217,107;4,104
