sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100530599;SN: 2100530599
;SB 5000TL-20;SB 5000TL-20
;2100530599;2100530599
;Gesamtertrag;Leistung
;Counter;Analog
dd.MM.yyyy HH:mm;kWh;kW
05.03.2012 00:00;669,178;0,000
05.03.2012 00:05;669,178;0,000
05.03.2012 00:10;669,178;0,000
05.03.2012 00:15;669,178;0,000
05.03.2012 00:20;669,178;0,000
05.03.2012 00:25;669,178;0,000
05.03.2012 00:30;669,178;0,000
05.03.2012 00:35;669,178;0,000
05.03.2012 00:40;669,178;0,000
05.03.2012 00:45;669,178;0,000
05.03.2012 00:50;669,178;0,000
05.03.2012 00:55;669,178;0,000
05.03.2012 01:00;669,178;0,000
05.03.2012 01:05;669,178;0,000
05.03.2012 01:10;669,178;0,000
05.03.2012 01:15;669,178;0,000
05.03.2012 01:20;669,178;0,000
05.03.2012 01:25;669,178;0,000
05.03.2012 01:30;669,178;0,000
05.03.2012 01:35;669,178;0,000
05.03.2012 01:40;669,178;0,000
05.03.2012 01:45;669,178;0,000
05.03.2012 01:50;669,178;0,000
05.03.2012 01:55;669,178;0,000
05.03.2012 02:00;669,178;0,000
05.03.2012 02:05;669,178;0,000
05.03.2012 02:10;669,178;0,000
05.03.2012 02:15;669,178;0,000
05.03.2012 02:20;669,178;0,000
05.03.2012 02:25;669,178;0,000
05.03.2012 02:30;669,178;0,000
05.03.2012 02:35;669,178;0,000
05.03.2012 02:40;669,178;0,000
05.03.2012 02:45;669,178;0,000
05.03.2012 02:50;669,178;0,000
05.03.2012 02:55;669,178;0,000
05.03.2012 03:00;669,178;0,000
05.03.2012 03:05;669,178;0,000
05.03.2012 03:10;669,178;0,000
05.03.2012 03:15;669,178;0,000
05.03.2012 03:20;669,178;0,000
05.03.2012 03:25;669,178;0,000
05.03.2012 03:30;669,178;0,000
05.03.2012 03:35;669,178;0,000
05.03.2012 03:40;669,178;0,000
05.03.2012 03:45;669,178;0,000
05.03.2012 03:50;669,178;0,000
05.03.2012 03:55;669,178;0,000
05.03.2012 04:00;669,178;0,000
05.03.2012 04:05;669,178;0,000
05.03.2012 04:10;669,178;0,000
05.03.2012 04:15;669,178;0,000
05.03.2012 04:20;669,178;0,000
05.03.2012 04:25;669,178;0,000
05.03.2012 04:30;669,178;0,000
05.03.2012 04:35;669,178;0,000
05.03.2012 04:40;669,178;0,000
05.03.2012 04:45;669,178;0,000
05.03.2012 04:50;669,178;0,000
05.03.2012 04:55;669,178;0,000
05.03.2012 05:00;669,178;0,000
05.03.2012 05:05;669,178;0,000
05.03.2012 05:10;669,178;0,000
05.03.2012 05:15;669,178;0,000
05.03.2012 05:20;669,178;0,000
05.03.2012 05:25;669,178;0,000
05.03.2012 05:30;669,178;0,000
05.03.2012 05:35;669,178;0,000
05.03.2012 05:40;669,178;0,000
05.03.2012 05:45;669,178;0,000
05.03.2012 05:50;669,178;0,000
05.03.2012 05:55;669,178;0,000
05.03.2012 06:00;669,178;0,000
05.03.2012 06:05;669,178;0,000
05.03.2012 06:10;669,178;0,000
05.03.2012 06:15;669,178;0,000
05.03.2012 06:20;669,178;0,000
05.03.2012 06:25;669,178;0,000
05.03.2012 06:30;669,178;0,000
05.03.2012 06:35;669,178;0,000
05.03.2012 06:40;669,178;0,000
05.03.2012 06:45;669,178;0,000
05.03.2012 06:50;669,178;0,000
05.03.2012 06:55;669,178;0,000
05.03.2012 07:00;669,178;0,000
05.03.2012 07:05;669,178;0,000
05.03.2012 07:10;669,178;0,000
05.03.2012 07:15;669,178;0,000
05.03.2012 07:20;669,178;0,000
05.03.2012 07:25;669,178;0,000
05.03.2012 07:30;669,178;0,000
05.03.2012 07:35;669,178;0,000
05.03.2012 07:40;669,178;0,000
05.03.2012 07:45;669,178;0,000
05.03.2012 07:50;669,178;0,000
05.03.2012 07:55;669,180;0,024
05.03.2012 08:00;669,183;0,036
05.03.2012 08:05;669,190;0,084
05.03.2012 08:10;669,200;0,120
05.03.2012 08:15;669,208;0,096
05.03.2012 08:20;669,224;0,192
05.03.2012 08:25;669,238;0,168
05.03.2012 08:30;669,248;0,120
05.03.2012 08:35;669,262;0,168
05.03.2012 08:40;669,281;0,228
05.03.2012 08:45;669,303;0,264
05.03.2012 08:50;669,331;0,336
05.03.2012 08:55;669,366;0,420
05.03.2012 09:00;669,403;0,444
05.03.2012 09:05;669,457;0,648
05.03.2012 09:10;669,508;0,612
05.03.2012 09:15;669,576;0,816
05.03.2012 09:20;669,706;1,560
05.03.2012 09:25;669,858;1,824
05.03.2012 09:30;670,003;1,740
05.03.2012 09:35;670,062;0,708
05.03.2012 09:40;670,109;0,564
05.03.2012 09:45;670,177;0,816
05.03.2012 09:50;670,217;0,480
05.03.2012 09:55;670,253;0,432
05.03.2012 10:00;670,282;0,348
05.03.2012 10:05;670,334;0,624
05.03.2012 10:10;670,385;0,612
05.03.2012 10:15;670,438;0,636
05.03.2012 10:20;670,492;0,648
05.03.2012 10:25;670,534;0,504
05.03.2012 10:30;670,571;0,444
05.03.2012 10:35;670,615;0,528
05.03.2012 10:40;670,699;1,008
05.03.2012 10:45;670,831;1,584
05.03.2012 10:50;670,922;1,092
05.03.2012 10:55;671,049;1,524
05.03.2012 11:00;671,179;1,560
05.03.2012 11:05;671,250;0,852
05.03.2012 11:10;671,292;0,504
05.03.2012 11:15;671,341;0,588
05.03.2012 11:20;671,457;1,392
05.03.2012 11:25;671,630;2,076
05.03.2012 11:30;671,835;2,460
05.03.2012 11:35;671,992;1,884
05.03.2012 11:40;672,157;1,980
05.03.2012 11:45;672,293;1,632
05.03.2012 11:50;672,461;2,016
05.03.2012 11:55;672,674;2,556
05.03.2012 12:00;672,805;1,572
05.03.2012 12:05;672,993;2,256
05.03.2012 12:10;673,227;2,808
05.03.2012 12:15;673,473;2,952
05.03.2012 12:20;673,629;1,872
05.03.2012 12:25;673,805;2,112
05.03.2012 12:30;673,982;2,124
05.03.2012 12:35;674,139;1,884
05.03.2012 12:40;674,304;1,980
05.03.2012 12:45;674,442;1,656
05.03.2012 12:50;674,553;1,332
05.03.2012 12:55;674,646;1,116
05.03.2012 13:00;674,728;0,984
05.03.2012 13:05;674,810;0,984
05.03.2012 13:10;674,902;1,104
05.03.2012 13:15;675,005;1,236
05.03.2012 13:20;675,112;1,284
05.03.2012 13:25;675,216;1,248
05.03.2012 13:30;675,324;1,296
05.03.2012 13:35;675,472;1,776
05.03.2012 13:40;675,646;2,088
05.03.2012 13:45;675,726;0,960
05.03.2012 13:50;675,772;0,552
05.03.2012 13:55;675,803;0,372
05.03.2012 14:00;675,834;0,372
05.03.2012 14:05;675,880;0,552
05.03.2012 14:10;675,995;1,380
05.03.2012 14:15;676,075;0,960
05.03.2012 14:20;676,124;0,588
05.03.2012 14:25;676,160;0,432
05.03.2012 14:30;676,186;0,312
05.03.2012 14:35;676,218;0,384
05.03.2012 14:40;676,261;0,516
05.03.2012 14:45;676,293;0,384
05.03.2012 14:50;676,313;0,240
05.03.2012 14:55;676,339;0,312
05.03.2012 15:00;676,371;0,384
