sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100530599;SN: 2100530599
;SB 5000TL-20;SB 5000TL-20
;2100530599;2100530599
;Gesamtertrag;Leistung
;Counter;Analog
dd.MM.yyyy HH:mm;kWh;kW
29.03.2012 00:00;1179,375;0,000
29.03.2012 00:05;1179,375;0,000
29.03.2012 00:10;1179,375;0,000
29.03.2012 00:15;1179,375;0,000
29.03.2012 00:20;1179,375;0,000
29.03.2012 00:25;1179,375;0,000
29.03.2012 00:30;1179,375;0,000
29.03.2012 00:35;1179,375;0,000
29.03.2012 00:40;1179,375;0,000
29.03.2012 00:45;1179,375;0,000
29.03.2012 00:50;1179,375;0,000
29.03.2012 00:55;1179,375;0,000
29.03.2012 01:00;1179,375;0,000
29.03.2012 01:05;1179,375;0,000
29.03.2012 01:10;1179,375;0,000
29.03.2012 01:15;1179,375;0,000
29.03.2012 01:20;1179,375;0,000
29.03.2012 01:25;1179,375;0,000
29.03.2012 01:30;1179,375;0,000
29.03.2012 01:35;1179,375;0,000
29.03.2012 01:40;1179,375;0,000
29.03.2012 01:45;1179,375;0,000
29.03.2012 01:50;1179,375;0,000
29.03.2012 01:55;1179,375;0,000
29.03.2012 02:00;1179,375;0,000
29.03.2012 02:05;1179,375;0,000
29.03.2012 02:10;1179,375;0,000
29.03.2012 02:15;1179,375;0,000
29.03.2012 02:20;1179,375;0,000
29.03.2012 02:25;1179,375;0,000
29.03.2012 02:30;1179,375;0,000
29.03.2012 02:35;1179,375;0,000
29.03.2012 02:40;1179,375;0,000
29.03.2012 02:45;1179,375;0,000
29.03.2012 02:50;1179,375;0,000
29.03.2012 02:55;1179,375;0,000
29.03.2012 03:00;1179,375;0,000
29.03.2012 03:05;1179,375;0,000
29.03.2012 03:10;1179,375;0,000
29.03.2012 03:15;1179,375;0,000
29.03.2012 03:20;1179,375;0,000
29.03.2012 03:25;1179,375;0,000
29.03.2012 03:30;1179,375;0,000
29.03.2012 03:35;1179,375;0,000
29.03.2012 03:40;1179,375;0,000
29.03.2012 03:45;1179,375;0,000
29.03.2012 03:50;1179,375;0,000
29.03.2012 03:55;1179,375;0,000
29.03.2012 04:00;1179,375;0,000
29.03.2012 04:05;1179,375;0,000
29.03.2012 04:10;1179,375;0,000
29.03.2012 04:15;1179,375;0,000
29.03.2012 04:20;1179,375;0,000
29.03.2012 04:25;1179,375;0,000
29.03.2012 04:30;1179,375;0,000
29.03.2012 04:35;1179,375;0,000
29.03.2012 04:40;1179,375;0,000
29.03.2012 04:45;1179,375;0,000
29.03.2012 04:50;1179,375;0,000
29.03.2012 04:55;1179,375;0,000
29.03.2012 05:00;1179,375;0,000
29.03.2012 05:05;1179,375;0,000
29.03.2012 05:10;1179,375;0,000
29.03.2012 05:15;1179,375;0,000
29.03.2012 05:20;1179,375;0,000
29.03.2012 05:25;1179,375;0,000
29.03.2012 05:30;1179,375;0,000
29.03.2012 05:35;1179,375;0,000
29.03.2012 05:40;1179,375;0,000
29.03.2012 05:45;1179,375;0,000
29.03.2012 05:50;1179,375;0,000
29.03.2012 05:55;1179,375;0,000
29.03.2012 06:00;1179,375;0,000
29.03.2012 06:05;1179,375;0,000
29.03.2012 06:10;1179,375;0,000
29.03.2012 06:15;1179,375;0,000
29.03.2012 06:20;1179,375;0,000
29.03.2012 06:25;1179,375;0,000
29.03.2012 06:30;1179,375;0,000
29.03.2012 06:35;1179,375;0,000
29.03.2012 06:40;1179,375;0,000
29.03.2012 06:45;1179,375;0,000
29.03.2012 06:50;1179,375;0,000
29.03.2012 06:55;1179,375;0,000
29.03.2012 07:00;1179,375;0,000
29.03.2012 07:05;1179,375;0,000
29.03.2012 07:10;1179,375;0,000
29.03.2012 07:15;1179,375;0,000
29.03.2012 07:20;1179,375;0,000
29.03.2012 07:25;1179,376;0,012
29.03.2012 07:30;1179,379;0,036
29.03.2012 07:35;1179,382;0,036
29.03.2012 07:40;1179,388;0,072
29.03.2012 07:45;1179,396;0,096
29.03.2012 07:50;1179,406;0,120
29.03.2012 07:55;1179,417;0,132
29.03.2012 08:00;1179,431;0,168
29.03.2012 08:05;1179,444;0,156
29.03.2012 08:10;1179,461;0,204
29.03.2012 08:15;1179,477;0,192
29.03.2012 08:20;1179,491;0,168
29.03.2012 08:25;1179,507;0,192
29.03.2012 08:30;1179,535;0,336
29.03.2012 08:35;1179,566;0,372
29.03.2012 08:40;1179,604;0,456
29.03.2012 08:45;1179,648;0,528
29.03.2012 08:50;1179,698;0,600
29.03.2012 08:55;1179,757;0,708
29.03.2012 09:00;1179,829;0,864
29.03.2012 09:05;1179,916;1,044
29.03.2012 09:10;1180,015;1,188
29.03.2012 09:15;1180,130;1,380
29.03.2012 09:20;1180,240;1,320
29.03.2012 09:25;1180,366;1,512
29.03.2012 09:30;1180,502;1,632
29.03.2012 09:35;1180,643;1,692
29.03.2012 09:40;1180,787;1,728
29.03.2012 09:45;1180,925;1,656
29.03.2012 09:50;1181,028;1,236
29.03.2012 09:55;1181,125;1,164
29.03.2012 10:00;1181,234;1,308
29.03.2012 10:05;1181,425;2,292
29.03.2012 10:10;1181,671;2,952
29.03.2012 10:15;1181,874;2,436
29.03.2012 10:20;1182,118;2,928
29.03.2012 10:25;1182,314;2,352
29.03.2012 10:30;1182,438;1,488
29.03.2012 10:35;1182,621;2,196
29.03.2012 10:40;1182,867;2,952
29.03.2012 10:45;1183,036;2,028
29.03.2012 10:50;1183,260;2,688
29.03.2012 10:55;1183,544;3,408
29.03.2012 11:00;1183,835;3,492
29.03.2012 11:05;1183,990;1,860
29.03.2012 11:10;1184,255;3,180
29.03.2012 11:15;1184,544;3,468
29.03.2012 11:20;1184,831;3,444
29.03.2012 11:25;1185,121;3,480
29.03.2012 11:30;1185,429;3,696
29.03.2012 11:35;1185,700;3,252
29.03.2012 11:40;1186,005;3,660
29.03.2012 11:45;1186,304;3,588
29.03.2012 11:50;1186,528;2,688
29.03.2012 11:55;1186,809;3,372
29.03.2012 12:00;1187,022;2,556
29.03.2012 12:05;1187,271;2,988
29.03.2012 12:10;1187,556;3,420
29.03.2012 12:15;1187,865;3,708
29.03.2012 12:20;1188,203;4,056
29.03.2012 12:25;1188,537;4,008
29.03.2012 12:30;1188,869;3,984
29.03.2012 12:35;1189,212;4,116
29.03.2012 12:40;1189,560;4,176
29.03.2012 12:45;1189,905;4,140
29.03.2012 12:50;1190,255;4,200
29.03.2012 12:55;1190,600;4,140
29.03.2012 13:00;1190,956;4,272
29.03.2012 13:05;1191,314;4,296
29.03.2012 13:10;1191,684;4,440
29.03.2012 13:15;1192,055;4,452
29.03.2012 13:20;1192,444;4,668
29.03.2012 13:25;1192,807;4,356
29.03.2012 13:30;1193,137;3,960
29.03.2012 13:35;1193,524;4,644
29.03.2012 13:40;1193,912;4,656
29.03.2012 13:45;1194,280;4,416
29.03.2012 13:50;1194,615;4,020
29.03.2012 13:55;1194,971;4,272
29.03.2012 14:00;1195,291;3,840
29.03.2012 14:05;1195,555;3,168
29.03.2012 14:10;1195,904;4,188
29.03.2012 14:15;1196,249;4,140
