sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100530599;SN: 2100530599
;SB 5000TL-20;SB 5000TL-20
;2100530599;2100530599
;Gesamtertrag;Leistung
;Counter;Analog
dd.MM.yyyy HH:mm;kWh;kW
08.04.2012 00:00;1336,302;0,000
08.04.2012 00:05;1336,302;0,000
08.04.2012 00:10;1336,302;0,000
08.04.2012 00:15;1336,302;0,000
08.04.2012 00:20;1336,302;0,000
08.04.2012 00:25;1336,302;0,000
08.04.2012 00:30;1336,302;0,000
08.04.2012 00:35;1336,302;0,000
08.04.2012 00:40;1336,302;0,000
08.04.2012 00:45;1336,302;0,000
08.04.2012 00:50;1336,302;0,000
08.04.2012 00:55;1336,302;0,000
08.04.2012 01:00;1336,302;0,000
08.04.2012 01:05;1336,302;0,000
08.04.2012 01:10;1336,302;0,000
08.04.2012 01:15;1336,302;0,000
08.04.2012 01:20;1336,302;0,000
08.04.2012 01:25;1336,302;0,000
08.04.2012 01:30;1336,302;0,000
08.04.2012 01:35;1336,302;0,000
08.04.2012 01:40;1336,302;0,000
08.04.2012 01:45;1336,302;0,000
08.04.2012 01:50;1336,302;0,000
08.04.2012 01:55;1336,302;0,000
08.04.2012 02:00;1336,302;0,000
08.04.2012 02:05;1336,302;0,000
08.04.2012 02:10;1336,302;0,000
08.04.2012 02:15;1336,302;0,000
08.04.2012 02:20;1336,302;0,000
08.04.2012 02:25;1336,302;0,000
08.04.2012 02:30;1336,302;0,000
08.04.2012 02:35;1336,302;0,000
08.04.2012 02:40;1336,302;0,000
08.04.2012 02:45;1336,302;0,000
08.04.2012 02:50;1336,302;0,000
08.04.2012 02:55;1336,302;0,000
08.04.2012 03:00;1336,302;0,000
08.04.2012 03:05;1336,302;0,000
08.04.2012 03:10;1336,302;0,000
08.04.2012 03:15;1336,302;0,000
08.04.2012 03:20;1336,302;0,000
08.04.2012 03:25;1336,302;0,000
08.04.2012 03:30;1336,302;0,000
08.04.2012 03:35;1336,302;0,000
08.04.2012 03:40;1336,302;0,000
08.04.2012 03:45;1336,302;0,000
08.04.2012 03:50;1336,302;0,000
08.04.2012 03:55;1336,302;0,000
08.04.2012 04:00;1336,302;0,000
08.04.2012 04:05;1336,302;0,000
08.04.2012 04:10;1336,302;0,000
08.04.2012 04:15;1336,302;0,000
08.04.2012 04:20;1336,302;0,000
08.04.2012 04:25;1336,302;0,000
08.04.2012 04:30;1336,302;0,000
08.04.2012 04:35;1336,302;0,000
08.04.2012 04:40;1336,302;0,000
08.04.2012 04:45;1336,302;0,000
08.04.2012 04:50;1336,302;0,000
08.04.2012 04:55;1336,302;0,000
08.04.2012 05:00;1336,302;0,000
08.04.2012 05:05;1336,302;0,000
08.04.2012 05:10;1336,302;0,000
08.04.2012 05:15;1336,302;0,000
08.04.2012 05:20;1336,302;0,000
08.04.2012 05:25;1336,302;0,000
08.04.2012 05:30;1336,302;0,000
08.04.2012 05:35;1336,302;0,000
08.04.2012 05:40;1336,302;0,000
08.04.2012 05:45;1336,302;0,000
08.04.2012 05:50;1336,302;0,000
08.04.2012 05:55;1336,302;0,000
08.04.2012 06:00;1336,302;0,000
08.04.2012 06:05;1336,302;0,000
08.04.2012 06:10;1336,302;0,000
08.04.2012 06:15;1336,302;0,000
08.04.2012 06:20;1336,302;0,000
08.04.2012 06:25;1336,302;0,000
08.04.2012 06:30;1336,302;0,000
08.04.2012 06:35;1336,302;0,000
08.04.2012 06:40;1336,302;0,000
08.04.2012 06:45;1336,302;0,000
08.04.2012 06:50;1336,302;0,000
08.04.2012 06:55;1336,302;0,000
08.04.2012 07:00;1336,302;0,000
08.04.2012 07:05;1336,302;0,000
08.04.2012 07:10;1336,302;0,000
08.04.2012 07:15;1336,304;0,024
08.04.2012 07:20;1336,306;0,024
08.04.2012 07:25;1336,310;0,048
08.04.2012 07:30;1336,315;0,060
08.04.2012 07:35;1336,322;0,084
08.04.2012 07:40;1336,331;0,108
08.04.2012 07:45;1336,342;0,132
08.04.2012 07:50;1336,355;0,156
08.04.2012 07:55;1336,370;0,180
08.04.2012 08:00;1336,389;0,228
08.04.2012 08:05;1336,411;0,264
08.04.2012 08:10;1336,438;0,324
08.04.2012 08:15;1336,467;0,348
08.04.2012 08:20;1336,500;0,396
08.04.2012 08:25;1336,535;0,420
08.04.2012 08:30;1336,572;0,444
08.04.2012 08:35;1336,616;0,528
08.04.2012 08:40;1336,670;0,648
08.04.2012 08:45;1336,727;0,684
08.04.2012 08:50;1336,779;0,624
08.04.2012 08:55;1336,833;0,648
08.04.2012 09:00;1336,918;1,020
08.04.2012 09:05;1337,040;1,464
08.04.2012 09:10;1337,177;1,644
08.04.2012 09:15;1337,311;1,608
08.04.2012 09:20;1337,435;1,488
08.04.2012 09:25;1337,591;1,872
08.04.2012 09:30;1337,701;1,320
08.04.2012 09:35;1337,866;1,980
08.04.2012 09:40;1338,055;2,268
08.04.2012 09:45;1338,229;2,088
08.04.2012 09:50;1338,455;2,712
08.04.2012 09:55;1338,677;2,664
08.04.2012 10:00;1338,905;2,736
08.04.2012 10:05;1339,104;2,388
08.04.2012 10:10;1339,357;3,036
08.04.2012 10:15;1339,616;3,108
08.04.2012 10:20;1339,863;2,964
08.04.2012 10:25;1340,135;3,264
08.04.2012 10:30;1340,266;1,572
08.04.2012 10:35;1340,379;1,356
08.04.2012 10:40;1340,598;2,628
08.04.2012 10:45;1340,732;1,608
08.04.2012 10:50;1341,057;3,900
08.04.2012 10:55;1341,401;4,128
08.04.2012 11:00;1341,749;4,176
08.04.2012 11:05;1342,110;4,332
08.04.2012 11:10;1342,451;4,092
08.04.2012 11:15;1342,615;1,968
08.04.2012 11:20;1342,716;1,212
08.04.2012 11:25;1342,949;2,796
08.04.2012 11:30;1343,124;2,100
08.04.2012 11:35;1343,287;1,956
08.04.2012 11:40;1343,469;2,184
08.04.2012 11:45;1343,568;1,188
08.04.2012 11:50;1343,653;1,020
08.04.2012 11:55;1343,733;0,960
08.04.2012 12:00;1343,824;1,092
08.04.2012 12:05;1343,956;1,584
08.04.2012 12:10;1344,083;1,524
08.04.2012 12:15;1344,188;1,260
08.04.2012 12:20;1344,278;1,080
08.04.2012 12:25;1344,369;1,092
08.04.2012 12:30;1344,466;1,164
08.04.2012 12:35;1344,580;1,368
08.04.2012 12:40;1344,914;4,008
08.04.2012 12:45;1345,129;2,580
08.04.2012 12:50;1345,261;1,584
08.04.2012 12:55;1345,370;1,308
08.04.2012 13:00;1345,477;1,284
08.04.2012 13:05;1345,577;1,200
08.04.2012 13:10;1345,839;3,144
08.04.2012 13:15;1346,116;3,324
08.04.2012 13:20;1346,312;2,352
08.04.2012 13:25;1346,454;1,704
08.04.2012 13:30;1346,573;1,428
08.04.2012 13:35;1346,692;1,428
08.04.2012 13:40;1346,802;1,320
08.04.2012 13:45;1346,943;1,692
08.04.2012 13:50;1347,064;1,452
08.04.2012 13:55;1347,184;1,440
08.04.2012 14:00;1347,314;1,560
08.04.2012 14:05;1347,533;2,628
08.04.2012 14:10;1347,797;3,168
08.04.2012 14:15;1347,963;1,992
