sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100530599;SN: 2100530599
;SB 5000TL-20;SB 5000TL-20
;2100530599;2100530599
;Gesamtertrag;Leistung
;Counter;Analog
dd.MM.yyyy HH:mm;kWh;kW
15.01.2012 00:00;155,768;0,000
15.01.2012 00:05;155,768;0,000
15.01.2012 00:10;155,768;0,000
15.01.2012 00:15;155,768;0,000
15.01.2012 00:20;155,768;0,000
15.01.2012 00:25;155,768;0,000
15.01.2012 00:30;155,768;0,000
15.01.2012 00:35;155,768;0,000
15.01.2012 00:40;155,768;0,000
15.01.2012 00:45;155,768;0,000
15.01.2012 00:50;155,768;0,000
15.01.2012 00:55;155,768;0,000
15.01.2012 01:00;155,768;0,000
15.01.2012 01:05;155,768;0,000
15.01.2012 01:10;155,768;0,000
15.01.2012 01:15;155,768;0,000
15.01.2012 01:20;155,768;0,000
15.01.2012 01:25;155,768;0,000
15.01.2012 01:30;155,768;0,000
15.01.2012 01:35;155,768;0,000
15.01.2012 01:40;155,768;0,000
15.01.2012 01:45;155,768;0,000
15.01.2012 01:50;155,768;0,000
15.01.2012 01:55;155,768;0,000
15.01.2012 02:00;155,768;0,000
15.01.2012 02:05;155,768;0,000
15.01.2012 02:10;155,768;0,000
15.01.2012 02:15;155,768;0,000
15.01.2012 02:20;155,768;0,000
15.01.2012 02:25;155,768;0,000
15.01.2012 02:30;155,768;0,000
15.01.2012 02:35;155,768;0,000
15.01.2012 02:40;155,768;0,000
15.01.2012 02:45;155,768;0,000
15.01.2012 02:50;155,768;0,000
15.01.2012 02:55;155,768;0,000
15.01.2012 03:00;155,768;0,000
15.01.2012 03:05;155,768;0,000
15.01.2012 03:10;155,768;0,000
15.01.2012 03:15;155,768;0,000
15.01.2012 03:20;155,768;0,000
15.01.2012 03:25;155,768;0,000
15.01.2012 03:30;155,768;0,000
15.01.2012 03:35;155,768;0,000
15.01.2012 03:40;155,768;0,000
15.01.2012 03:45;155,768;0,000
15.01.2012 03:50;155,768;0,000
15.01.2012 03:55;155,768;0,000
15.01.2012 04:00;155,768;0,000
15.01.2012 04:05;155,768;0,000
15.01.2012 04:10;155,768;0,000
15.01.2012 04:15;155,768;0,000
15.01.2012 04:20;155,768;0,000
15.01.2012 04:25;155,768;0,000
15.01.2012 04:30;155,768;0,000
15.01.2012 04:35;155,768;0,000
15.01.2012 04:40;155,768;0,000
15.01.2012 04:45;155,768;0,000
15.01.2012 04:50;155,768;0,000
15.01.2012 04:55;155,768;0,000
15.01.2012 05:00;155,768;0,000
15.01.2012 05:05;155,768;0,000
15.01.2012 05:10;155,768;0,000
15.01.2012 05:15;155,768;0,000
15.01.2012 05:20;155,768;0,000
15.01.2012 05:25;155,768;0,000
15.01.2012 05:30;155,768;0,000
15.01.2012 05:35;155,768;0,000
15.01.2012 05:40;155,768;0,000
15.01.2012 05:45;155,768;0,000
15.01.2012 05:50;155,768;0,000
15.01.2012 05:55;155,768;0,000
15.01.2012 06:00;155,768;0,000
15.01.2012 06:05;155,768;0,000
15.01.2012 06:10;155,768;0,000
15.01.2012 06:15;155,768;0,000
15.01.2012 06:20;155,768;0,000
15.01.2012 06:25;155,768;0,000
15.01.2012 06:30;155,768;0,000
15.01.2012 06:35;155,768;0,000
15.01.2012 06:40;155,768;0,000
15.01.2012 06:45;155,768;0,000
15.01.2012 06:50;155,768;0,000
15.01.2012 06:55;155,768;0,000
15.01.2012 07:00;155,768;0,000
15.01.2012 07:05;155,768;0,000
15.01.2012 07:10;155,768;0,000
15.01.2012 07:15;155,768;0,000
15.01.2012 07:20;155,768;0,000
15.01.2012 07:25;155,768;0,000
15.01.2012 07:30;155,768;0,000
15.01.2012 07:35;155,768;0,000
15.01.2012 07:40;155,768;0,000
15.01.2012 07:45;155,768;0,000
15.01.2012 07:50;155,768;0,000
15.01.2012 07:55;155,768;0,000
15.01.2012 08:00;155,768;0,000
15.01.2012 08:05;155,768;0,000
15.01.2012 08:10;155,768;0,000
15.01.2012 08:15;155,768;0,000
15.01.2012 08:20;155,768;0,000
15.01.2012 08:25;155,770;0,024
15.01.2012 08:30;155,773;0,036
15.01.2012 08:35;155,779;0,072
15.01.2012 08:40;155,786;0,084
15.01.2012 08:45;155,795;0,108
15.01.2012 08:50;155,805;0,120
15.01.2012 08:55;155,817;0,144
15.01.2012 09:00;155,831;0,168
15.01.2012 09:05;155,847;0,192
15.01.2012 09:10;155,866;0,228
15.01.2012 09:15;155,894;0,336
15.01.2012 09:20;155,935;0,492
15.01.2012 09:25;155,975;0,480
15.01.2012 09:30;156,020;0,540
15.01.2012 09:35;156,069;0,588
15.01.2012 09:40;156,118;0,588
15.01.2012 09:45;156,163;0,540
15.01.2012 09:50;156,212;0,588
15.01.2012 09:55;156,287;0,900
15.01.2012 10:00;156,406;1,428
15.01.2012 10:05;156,532;1,512
15.01.2012 10:10;156,656;1,488
15.01.2012 10:15;156,794;1,656
15.01.2012 10:20;156,949;1,860
15.01.2012 10:25;157,108;1,908
15.01.2012 10:30;157,276;2,016
15.01.2012 10:35;157,465;2,268
15.01.2012 10:40;157,668;2,436
15.01.2012 10:45;157,866;2,376
15.01.2012 10:50;158,095;2,748
15.01.2012 10:55;158,322;2,724
15.01.2012 11:00;158,550;2,736
15.01.2012 11:05;158,793;2,916
15.01.2012 11:10;159,042;2,988
15.01.2012 11:15;159,297;3,060
15.01.2012 11:20;159,555;3,096
15.01.2012 11:25;159,820;3,180
15.01.2012 11:30;160,092;3,264
15.01.2012 11:35;160,368;3,312
15.01.2012 11:40;160,649;3,372
15.01.2012 11:45;160,929;3,360
15.01.2012 11:50;161,213;3,408
15.01.2012 11:55;161,498;3,420
15.01.2012 12:00;161,781;3,396
15.01.2012 12:05;162,029;2,976
15.01.2012 12:10;162,245;2,592
15.01.2012 12:15;162,523;3,336
15.01.2012 12:20;162,808;3,420
15.01.2012 12:25;163,094;3,432
15.01.2012 12:30;163,381;3,444
15.01.2012 12:35;163,670;3,468
15.01.2012 12:40;163,969;3,588
15.01.2012 12:45;164,264;3,540
15.01.2012 12:50;164,572;3,696
15.01.2012 12:55;164,882;3,720
15.01.2012 13:00;165,185;3,636
15.01.2012 13:05;165,496;3,732
15.01.2012 13:10;165,804;3,696
15.01.2012 13:15;166,022;2,616
15.01.2012 13:20;166,069;0,564
15.01.2012 13:25;166,114;0,540
15.01.2012 13:30;166,200;1,032
15.01.2012 13:35;166,494;3,528
15.01.2012 13:40;166,753;3,108
15.01.2012 13:45;166,909;1,872
15.01.2012 13:50;166,954;0,540
15.01.2012 13:55;167,033;0,948
15.01.2012 14:00;167,230;2,364
15.01.2012 14:05;167,308;0,936
15.01.2012 14:10;167,528;2,640
15.01.2012 14:15;167,780;3,024
15.01.2012 14:20;168,032;3,024
15.01.2012 14:25;168,282;3,000
15.01.2012 14:30;168,526;2,928
15.01.2012 14:35;168,773;2,964
15.01.2012 14:40;169,023;3,000
15.01.2012 14:45;169,264;2,892
15.01.2012 14:50;169,498;2,808
15.01.2012 14:55;169,717;2,628
15.01.2012 15:00;169,929;2,544
