sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100530599;SN: 2100530599
;SB 5000TL-20;SB 5000TL-20
;2100530599;2100530599
;Gesamtertrag;Leistung
;Counter;Analog
dd.MM.yyyy HH:mm;kWh;kW
19.04.2012 00:00;1501,556;0,000
19.04.2012 00:05;1501,556;0,000
19.04.2012 00:10;1501,556;0,000
19.04.2012 00:15;1501,556;0,000
19.04.2012 00:20;1501,556;0,000
19.04.2012 00:25;1501,556;0,000
19.04.2012 00:30;1501,556;0,000
19.04.2012 00:35;1501,556;0,000
19.04.2012 00:40;1501,556;0,000
19.04.2012 00:45;1501,556;0,000
19.04.2012 00:50;1501,556;0,000
19.04.2012 00:55;1501,556;0,000
19.04.2012 01:00;1501,556;0,000
19.04.2012 01:05;1501,556;0,000
19.04.2012 01:10;1501,556;0,000
19.04.2012 01:15;1501,556;0,000
19.04.2012 01:20;1501,556;0,000
19.04.2012 01:25;1501,556;0,000
19.04.2012 01:30;1501,556;0,000
19.04.2012 01:35;1501,556;0,000
19.04.2012 01:40;1501,556;0,000
19.04.2012 01:45;1501,556;0,000
19.04.2012 01:50;1501,556;0,000
19.04.2012 01:55;1501,556;0,000
19.04.2012 02:00;1501,556;0,000
19.04.2012 02:05;1501,556;0,000
19.04.2012 02:10;1501,556;0,000
19.04.2012 02:15;1501,556;0,000
19.04.2012 02:20;1501,556;0,000
19.04.2012 02:25;1501,556;0,000
19.04.2012 02:30;1501,556;0,000
19.04.2012 02:35;1501,556;0,000
19.04.2012 02:40;1501,556;0,000
19.04.2012 02:45;1501,556;0,000
19.04.2012 02:50;1501,556;0,000
19.04.2012 02:55;1501,556;0,000
19.04.2012 03:00;1501,556;0,000
19.04.2012 03:05;1501,556;0,000
19.04.2012 03:10;1501,556;0,000
19.04.2012 03:15;1501,556;0,000
19.04.2012 03:20;1501,556;0,000
19.04.2012 03:25;1501,556;0,000
19.04.2012 03:30;1501,556;0,000
19.04.2012 03:35;1501,556;0,000
19.04.2012 03:40;1501,556;0,000
19.04.2012 03:45;1501,556;0,000
19.04.2012 03:50;1501,556;0,000
19.04.2012 03:55;1501,556;0,000
19.04.2012 04:00;1501,556;0,000
19.04.2012 04:05;1501,556;0,000
19.04.2012 04:10;1501,556;0,000
19.04.2012 04:15;1501,556;0,000
19.04.2012 04:20;1501,556;0,000
19.04.2012 04:25;1501,556;0,000
19.04.2012 04:30;1501,556;0,000
19.04.2012 04:35;1501,556;0,000
19.04.2012 04:40;1501,556;0,000
19.04.2012 04:45;1501,556;0,000
19.04.2012 04:50;1501,556;0,000
19.04.2012 04:55;1501,556;0,000
19.04.2012 05:00;1501,556;0,000
19.04.2012 05:05;1501,556;0,000
19.04.2012 05:10;1501,556;0,000
19.04.2012 05:15;1501,556;0,000
19.04.2012 05:20;1501,556;0,000
19.04.2012 05:25;1501,556;0,000
19.04.2012 05:30;1501,556;0,000
19.04.2012 05:35;1501,556;0,000
19.04.2012 05:40;1501,556;0,000
19.04.2012 05:45;1501,556;0,000
19.04.2012 05:50;1501,556;0,000
19.04.2012 05:55;1501,556;0,000
19.04.2012 06:00;1501,556;0,000
19.04.2012 06:05;1501,556;0,000
19.04.2012 06:10;1501,556;0,000
19.04.2012 06:15;1501,556;0,000
19.04.2012 06:20;1501,556;0,000
19.04.2012 06:25;1501,556;0,000
19.04.2012 06:30;1501,556;0,000
19.04.2012 06:35;1501,557;0,012
19.04.2012 06:40;1501,559;0,024
19.04.2012 06:45;1501,562;0,036
19.04.2012 06:50;1501,566;0,048
19.04.2012 06:55;1501,571;0,060
19.04.2012 07:00;1501,578;0,084
19.04.2012 07:05;1501,587;0,108
19.04.2012 07:10;1501,598;0,132
19.04.2012 07:15;1501,609;0,132
19.04.2012 07:20;1501,622;0,156
19.04.2012 07:25;1501,635;0,156
19.04.2012 07:30;1501,653;0,216
19.04.2012 07:35;1501,674;0,252
19.04.2012 07:40;1501,697;0,276
19.04.2012 07:45;1501,720;0,276
19.04.2012 07:50;1501,749;0,348
19.04.2012 07:55;1501,791;0,504
19.04.2012 08:00;1501,827;0,432
19.04.2012 08:05;1501,860;0,396
19.04.2012 08:10;1501,892;0,384
19.04.2012 08:15;1501,925;0,396
19.04.2012 08:20;1501,963;0,456
19.04.2012 08:25;1502,001;0,456
19.04.2012 08:30;1502,037;0,432
19.04.2012 08:35;1502,081;0,528
19.04.2012 08:40;1502,126;0,540
19.04.2012 08:45;1502,164;0,456
19.04.2012 08:50;1502,195;0,372
19.04.2012 08:55;1502,225;0,360
19.04.2012 09:00;1502,258;0,396
19.04.2012 09:05;1502,295;0,444
19.04.2012 09:10;1502,332;0,444
19.04.2012 09:15;1502,376;0,528
19.04.2012 09:20;1502,428;0,624
19.04.2012 09:25;1502,492;0,768
19.04.2012 09:30;1502,583;1,092
19.04.2012 09:35;1502,664;0,972
19.04.2012 09:40;1502,745;0,972
19.04.2012 09:45;1502,828;0,996
19.04.2012 09:50;1502,919;1,092
19.04.2012 09:55;1503,019;1,200
19.04.2012 10:00;1503,126;1,284
19.04.2012 10:05;1503,240;1,368
19.04.2012 10:10;1503,369;1,548
19.04.2012 10:15;1503,509;1,680
19.04.2012 10:20;1503,665;1,872
19.04.2012 10:25;1503,829;1,968
19.04.2012 10:30;1503,948;1,428
19.04.2012 10:35;1504,058;1,320
19.04.2012 10:40;1504,168;1,320
19.04.2012 10:45;1504,301;1,596
19.04.2012 10:50;1504,462;1,932
19.04.2012 10:55;1504,652;2,280
19.04.2012 11:00;1504,896;2,928
19.04.2012 11:05;1505,100;2,448
19.04.2012 11:10;1505,309;2,508
19.04.2012 11:15;1505,576;3,204
19.04.2012 11:20;1505,842;3,192
19.04.2012 11:25;1506,140;3,576
19.04.2012 11:30;1506,434;3,528
19.04.2012 11:35;1506,688;3,048
19.04.2012 11:40;1506,938;3,000
19.04.2012 11:45;1507,263;3,900
19.04.2012 11:50;1507,558;3,540
19.04.2012 11:55;1507,859;3,612
19.04.2012 12:00;1508,226;4,404
19.04.2012 12:05;1508,572;4,152
19.04.2012 12:10;1508,943;4,452
19.04.2012 12:15;1509,340;4,764
19.04.2012 12:20;1509,491;1,812
19.04.2012 12:25;1509,728;2,844
19.04.2012 12:30;1509,896;2,016
19.04.2012 12:35;1510,100;2,448
19.04.2012 12:40;1510,335;2,820
19.04.2012 12:45;1510,503;2,016
19.04.2012 12:50;1510,657;1,848
19.04.2012 12:55;1510,822;1,980
19.04.2012 13:00;1511,019;2,364
19.04.2012 13:05;1511,175;1,872
19.04.2012 13:10;1511,316;1,692
19.04.2012 13:15;1511,429;1,356
19.04.2012 13:20;1511,511;0,984
19.04.2012 13:25;1511,583;0,864
19.04.2012 13:30;1511,630;0,564
19.04.2012 13:35;1511,657;0,324
19.04.2012 13:40;1511,689;0,384
19.04.2012 13:45;1511,748;0,708
19.04.2012 13:50;1511,811;0,756
19.04.2012 13:55;1511,884;0,876
19.04.2012 14:00;1511,939;0,660
19.04.2012 14:05;1511,991;0,624
19.04.2012 14:10;1512,053;0,744
19.04.2012 14:15;1512,143;1,080
