sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100530599;SN: 2100530599
;SB 5000TL-20;SB 5000TL-20
;2100530599;2100530599
;Gesamtertrag;Leistung
;Counter;Analog
dd.MM.yyyy HH:mm;kWh;kW
17.03.2012 00:00;876,892;0,000
17.03.2012 00:05;876,892;0,000
17.03.2012 00:10;876,892;0,000
17.03.2012 00:15;876,892;0,000
17.03.2012 00:20;876,892;0,000
17.03.2012 00:25;876,892;0,000
17.03.2012 00:30;876,892;0,000
17.03.2012 00:35;876,892;0,000
17.03.2012 00:40;876,892;0,000
17.03.2012 00:45;876,892;0,000
17.03.2012 00:50;876,892;0,000
17.03.2012 00:55;876,892;0,000
17.03.2012 01:00;876,892;0,000
17.03.2012 01:05;876,892;0,000
17.03.2012 01:10;876,892;0,000
17.03.2012 01:15;876,892;0,000
17.03.2012 01:20;876,892;0,000
17.03.2012 01:25;876,892;0,000
17.03.2012 01:30;876,892;0,000
17.03.2012 01:35;876,892;0,000
17.03.2012 01:40;876,892;0,000
17.03.2012 01:45;876,892;0,000
17.03.2012 01:50;876,892;0,000
17.03.2012 01:55;876,892;0,000
17.03.2012 02:00;876,892;0,000
17.03.2012 02:05;876,892;0,000
17.03.2012 02:10;876,892;0,000
17.03.2012 02:15;876,892;0,000
17.03.2012 02:20;876,892;0,000
17.03.2012 02:25;876,892;0,000
17.03.2012 02:30;876,892;0,000
17.03.2012 02:35;876,892;0,000
17.03.2012 02:40;876,892;0,000
17.03.2012 02:45;876,892;0,000
17.03.2012 02:50;876,892;0,000
17.03.2012 02:55;876,892;0,000
17.03.2012 03:00;876,892;0,000
17.03.2012 03:05;876,892;0,000
17.03.2012 03:10;876,892;0,000
17.03.2012 03:15;876,892;0,000
17.03.2012 03:20;876,892;0,000
17.03.2012 03:25;876,892;0,000
17.03.2012 03:30;876,892;0,000
17.03.2012 03:35;876,892;0,000
17.03.2012 03:40;876,892;0,000
17.03.2012 03:45;876,892;0,000
17.03.2012 03:50;876,892;0,000
17.03.2012 03:55;876,892;0,000
17.03.2012 04:00;876,892;0,000
17.03.2012 04:05;876,892;0,000
17.03.2012 04:10;876,892;0,000
17.03.2012 04:15;876,892;0,000
17.03.2012 04:20;876,892;0,000
17.03.2012 04:25;876,892;0,000
17.03.2012 04:30;876,892;0,000
17.03.2012 04:35;876,892;0,000
17.03.2012 04:40;876,892;0,000
17.03.2012 04:45;876,892;0,000
17.03.2012 04:50;876,892;0,000
17.03.2012 04:55;876,892;0,000
17.03.2012 05:00;876,892;0,000
17.03.2012 05:05;876,892;0,000
17.03.2012 05:10;876,892;0,000
17.03.2012 05:15;876,892;0,000
17.03.2012 05:20;876,892;0,000
17.03.2012 05:25;876,892;0,000
17.03.2012 05:30;876,892;0,000
17.03.2012 05:35;876,892;0,000
17.03.2012 05:40;876,892;0,000
17.03.2012 05:45;876,892;0,000
17.03.2012 05:50;876,892;0,000
17.03.2012 05:55;876,892;0,000
17.03.2012 06:00;876,892;0,000
17.03.2012 06:05;876,892;0,000
17.03.2012 06:10;876,892;0,000
17.03.2012 06:15;876,892;0,000
17.03.2012 06:20;876,892;0,000
17.03.2012 06:25;876,892;0,000
17.03.2012 06:30;876,892;0,000
17.03.2012 06:35;876,892;0,000
17.03.2012 06:40;876,892;0,000
17.03.2012 06:45;876,892;0,000
17.03.2012 06:50;876,895;0,036
17.03.2012 06:55;876,898;0,036
17.03.2012 07:00;876,902;0,048
17.03.2012 07:05;876,908;0,072
17.03.2012 07:10;876,914;0,072
17.03.2012 07:15;876,922;0,096
17.03.2012 07:20;876,934;0,144
17.03.2012 07:25;876,949;0,180
17.03.2012 07:30;876,966;0,204
17.03.2012 07:35;876,986;0,240
17.03.2012 07:40;877,009;0,276
17.03.2012 07:45;877,042;0,396
17.03.2012 07:50;877,083;0,492
17.03.2012 07:55;877,134;0,612
17.03.2012 08:00;877,197;0,756
17.03.2012 08:05;877,271;0,888
17.03.2012 08:10;877,360;1,068
17.03.2012 08:15;877,458;1,176
17.03.2012 08:20;877,570;1,344
17.03.2012 08:25;877,695;1,500
17.03.2012 08:30;877,828;1,596
17.03.2012 08:35;877,970;1,704
17.03.2012 08:40;878,122;1,824
17.03.2012 08:45;878,284;1,944
17.03.2012 08:50;878,454;2,040
17.03.2012 08:55;878,634;2,160
17.03.2012 09:00;878,822;2,256
17.03.2012 09:05;879,021;2,388
17.03.2012 09:10;879,230;2,508
17.03.2012 09:15;879,446;2,592
17.03.2012 09:20;879,672;2,712
17.03.2012 09:25;879,896;2,688
17.03.2012 09:30;880,120;2,688
17.03.2012 09:35;880,345;2,700
17.03.2012 09:40;880,592;2,964
17.03.2012 09:45;880,834;2,904
17.03.2012 09:50;881,088;3,048
17.03.2012 09:55;881,366;3,336
17.03.2012 10:00;881,637;3,252
17.03.2012 10:05;881,886;2,988
17.03.2012 10:10;882,173;3,444
17.03.2012 10:15;882,443;3,240
17.03.2012 10:20;882,720;3,324
17.03.2012 10:25;883,000;3,360
17.03.2012 10:30;883,249;2,988
17.03.2012 10:35;883,524;3,300
17.03.2012 10:40;883,848;3,888
17.03.2012 10:45;884,133;3,420
17.03.2012 10:50;884,433;3,600
17.03.2012 10:55;884,762;3,948
17.03.2012 11:00;885,097;4,020
17.03.2012 11:05;885,412;3,780
17.03.2012 11:10;885,721;3,708
17.03.2012 11:15;886,060;4,068
17.03.2012 11:20;886,378;3,816
17.03.2012 11:25;886,699;3,852
17.03.2012 11:30;887,004;3,660
17.03.2012 11:35;887,323;3,828
17.03.2012 11:40;887,637;3,768
17.03.2012 11:45;887,933;3,552
17.03.2012 11:50;888,210;3,324
17.03.2012 11:55;888,486;3,312
17.03.2012 12:00;888,758;3,264
17.03.2012 12:05;889,027;3,228
17.03.2012 12:10;889,311;3,408
17.03.2012 12:15;889,592;3,372
17.03.2012 12:20;889,884;3,504
17.03.2012 12:25;890,123;2,868
17.03.2012 12:30;890,384;3,132
17.03.2012 12:35;890,687;3,636
17.03.2012 12:40;891,007;3,840
17.03.2012 12:45;891,373;4,392
17.03.2012 12:50;891,773;4,800
17.03.2012 12:55;892,134;4,332
17.03.2012 13:00;892,414;3,360
17.03.2012 13:05;892,719;3,660
17.03.2012 13:10;893,024;3,660
17.03.2012 13:15;893,323;3,588
17.03.2012 13:20;893,624;3,612
17.03.2012 13:25;893,922;3,576
17.03.2012 13:30;894,249;3,924
17.03.2012 13:35;894,595;4,152
17.03.2012 13:40;894,920;3,900
17.03.2012 13:45;895,211;3,492
17.03.2012 13:50;895,505;3,528
17.03.2012 13:55;895,795;3,480
17.03.2012 14:00;896,074;3,348
17.03.2012 14:05;896,338;3,168
17.03.2012 14:10;896,574;2,832
17.03.2012 14:15;896,793;2,628
17.03.2012 14:20;896,993;2,400
17.03.2012 14:25;897,157;1,968
17.03.2012 14:30;897,313;1,872
17.03.2012 14:35;897,449;1,632
17.03.2012 14:40;897,572;1,476
17.03.2012 14:45;897,698;1,512
17.03.2012 14:50;897,820;1,464
17.03.2012 14:55;897,932;1,344
17.03.2012 15:00;898,030;1,176
