sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3

;SN: 2100530599;SN: 2100530599
;SB 5000TL-20;SB 5000TL-20
;2100530599;2100530599
;Gesamtertrag;Leistung
;Counter;Analog
dd.MM.yyyy HH:mm:ss;kWh;kW
29.12.2011 00:00:00;92,993;0,000
29.12.2011 00:05:00;92,993;0,000
29.12.2011 00:10:00;92,993;0,000
29.12.2011 00:15:00;92,993;0,000
29.12.2011 00:20:00;92,993;0,000
29.12.2011 00:25:00;92,993;0,000
29.12.2011 00:30:00;92,993;0,000
29.12.2011 00:35:00;92,993;0,000
29.12.2011 00:40:00;92,993;0,000
29.12.2011 00:45:00;92,993;0,000
29.12.2011 00:50:00;92,993;0,000
29.12.2011 00:55:00;92,993;0,000
29.12.2011 01:00:00;92,993;0,000
29.12.2011 01:05:00;92,993;0,000
29.12.2011 01:10:00;92,993;0,000
29.12.2011 01:15:00;92,993;0,000
29.12.2011 01:20:00;92,993;0,000
29.12.2011 01:25:00;92,993;0,000
29.12.2011 01:30:00;92,993;0,000
29.12.2011 01:35:00;92,993;0,000
29.12.2011 01:40:00;92,993;0,000
29.12.2011 01:45:00;92,993;0,000
29.12.2011 01:50:00;92,993;0,000
29.12.2011 01:55:00;92,993;0,000
29.12.2011 02:00:00;92,993;0,000
29.12.2011 02:05:00;92,993;0,000
29.12.2011 02:10:00;92,993;0,000
29.12.2011 02:15:00;92,993;0,000
29.12.2011 02:20:00;92,993;0,000
29.12.2011 02:25:00;92,993;0,000
29.12.2011 02:30:00;92,993;0,000
29.12.2011 02:35:00;92,993;0,000
29.12.2011 02:40:00;92,993;0,000
29.12.2011 02:45:00;92,993;0,000
29.12.2011 02:50:00;92,993;0,000
29.12.2011 02:55:00;92,993;0,000
29.12.2011 03:00:00;92,993;0,000
29.12.2011 03:05:00;92,993;0,000
29.12.2011 03:10:00;92,993;0,000
29.12.2011 03:15:00;92,993;0,000
29.12.2011 03:20:00;92,993;0,000
29.12.2011 03:25:00;92,993;0,000
29.12.2011 03:30:00;92,993;0,000
29.12.2011 03:35:00;92,993;0,000
29.12.2011 03:40:00;92,993;0,000
29.12.2011 03:45:00;92,993;0,000
29.12.2011 03:50:00;92,993;0,000
29.12.2011 03:55:00;92,993;0,000
29.12.2011 04:00:00;92,993;0,000
29.12.2011 04:05:00;92,993;0,000
29.12.2011 04:10:00;92,993;0,000
29.12.2011 04:15:00;92,993;0,000
29.12.2011 04:20:00;92,993;0,000
29.12.2011 04:25:00;92,993;0,000
29.12.2011 04:30:00;92,993;0,000
29.12.2011 04:35:00;92,993;0,000
29.12.2011 04:40:00;92,993;0,000
29.12.2011 04:45:00;92,993;0,000
29.12.2011 04:50:00;92,993;0,000
29.12.2011 04:55:00;92,993;0,000
29.12.2011 05:00:00;92,993;0,000
29.12.2011 05:05:00;92,993;0,000
29.12.2011 05:10:00;92,993;0,000
29.12.2011 05:15:00;92,993;0,000
29.12.2011 05:20:00;92,993;0,000
29.12.2011 05:25:00;92,993;0,000
29.12.2011 05:30:00;92,993;0,000
29.12.2011 05:35:00;92,993;0,000
29.12.2011 05:40:00;92,993;0,000
29.12.2011 05:45:00;92,993;0,000
29.12.2011 05:50:00;92,993;0,000
29.12.2011 05:55:00;92,993;0,000
29.12.2011 06:00:00;92,993;0,000
29.12.2011 06:05:00;92,993;0,000
29.12.2011 06:10:00;92,993;0,000
29.12.2011 06:15:00;92,993;0,000
29.12.2011 06:20:00;92,993;0,000
29.12.2011 06:25:00;92,993;0,000
29.12.2011 06:30:00;92,993;0,000
29.12.2011 06:35:00;92,993;0,000
29.12.2011 06:40:00;92,993;0,000
29.12.2011 06:45:00;92,993;0,000
29.12.2011 06:50:00;92,993;0,000
29.12.2011 06:55:00;92,993;0,000
29.12.2011 07:00:00;92,993;0,000
29.12.2011 07:05:00;92,993;0,000
29.12.2011 07:10:00;92,993;0,000
29.12.2011 07:15:00;92,993;0,000
29.12.2011 07:20:00;92,993;0,000
29.12.2011 07:25:00;92,993;0,000
29.12.2011 07:30:00;92,993;0,000
29.12.2011 07:35:00;92,993;0,000
29.12.2011 07:40:00;92,993;0,000
29.12.2011 07:45:00;92,993;0,000
29.12.2011 07:50:00;92,993;0,000
29.12.2011 07:55:00;92,993;0,000
29.12.2011 08:00:00;92,993;0,000
29.12.2011 08:05:00;92,993;0,000
29.12.2011 08:10:00;92,993;0,000
29.12.2011 08:15:00;92,993;0,000
29.12.2011 08:20:00;92,993;0,000
29.12.2011 08:25:00;92,993;0,000
29.12.2011 08:30:00;92,993;0,000
29.12.2011 08:35:00;92,993;0,000
29.12.2011 08:40:00;92,993;0,000
29.12.2011 08:45:00;92,993;0,000
29.12.2011 08:50:00;92,993;0,000
29.12.2011 08:55:00;92,993;0,000
29.12.2011 09:00:00;92,993;0,000
29.12.2011 09:05:00;92,993;0,000
29.12.2011 09:10:00;92,993;0,000
29.12.2011 09:15:00;92,993;0,000
29.12.2011 09:20:00;92,993;0,000
29.12.2011 09:25:00;92,993;0,000
29.12.2011 09:30:00;92,995;0,024
29.12.2011 09:35:00;93,004;0,108
29.12.2011 09:40:00;93,016;0,144
29.12.2011 09:45:00;93,027;0,132
29.12.2011 09:50:00;93,036;0,108
29.12.2011 09:55:00;93,043;0,084
29.12.2011 10:00:00;93,049;0,072
29.12.2011 10:05:00;93,059;0,120
29.12.2011 10:10:00;93,070;0,132
29.12.2011 10:15:00;93,082;0,144
29.12.2011 10:20:00;93,093;0,132
29.12.2011 10:25:00;93,104;0,132
29.12.2011 10:30:00;93,119;0,180
29.12.2011 10:35:00;93,139;0,240
29.12.2011 10:40:00;93,160;0,252
29.12.2011 10:45:00;93,177;0,204
29.12.2011 10:50:00;93,198;0,252
29.12.2011 10:55:00;93,219;0,252
29.12.2011 11:00:00;93,251;0,384
29.12.2011 11:05:00;93,276;0,300
29.12.2011 11:10:00;93,295;0,228
29.12.2011 11:15:00;93,311;0,192
29.12.2011 11:20:00;93,329;0,216
29.12.2011 11:25:00;93,350;0,252
29.12.2011 11:30:00;93,375;0,300
29.12.2011 11:35:00;93,407;0,384
29.12.2011 11:40:00;93,435;0,336
29.12.2011 11:45:00;93,454;0,228
29.12.2011 11:50:00;93,466;0,144
29.12.2011 11:55:00;93,481;0,180
29.12.2011 12:00:00;93,496;0,180
29.12.2011 12:05:00;93,513;0,204
29.12.2011 12:10:00;93,543;0,360
29.12.2011 12:15:00;93,580;0,444
29.12.2011 12:20:00;93,622;0,504
29.12.2011 12:25:00;93,680;0,696
29.12.2011 12:30:00;93,731;0,612
29.12.2011 12:35:00;93,787;0,672
29.12.2011 12:40:00;94,000;2,556
29.12.2011 12:45:00;94,109;1,308
29.12.2011 12:50:00;94,200;1,092
29.12.2011 12:55:00;94,276;0,912
29.12.2011 13:00:00;94,333;0,684
29.12.2011 13:05:00;94,362;0,348
29.12.2011 13:10:00;94,385;0,276
29.12.2011 13:15:00;94,416;0,372
29.12.2011 13:20:00;94,454;0,456
29.12.2011 13:25:00;94,498;0,528
29.12.2011 13:30:00;94,545;0,564
