sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon

DeviceType;DeviceLocation;SusyId;SerNo;TimeStamp;EntryId;EventCode;EventType;Category;Group;Tag
SB 5000TL-20;SN: 2100530599;78;2100530599;11.02.2012 08:14;1361;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 5000TL-20;SN: 2100530599;78;2100530599;12.02.2012 08:08;1377;10223;Event;Info;Gerät;Intervallzeit abgelaufen
SB 5000TL-20;SN: 2100530599;78;2100530599;13.02.2012 08:16;1399;10223;Event;Info;Gerät;Intervallzeit abgelaufen
